alpha_1,alpha_2,Im(lambda_6),Re(lambda_6),Re(lambda_5)
0.00001,1.00E-05,2.670038416,-0.039668852,-0.039668852
0.00001,0.05001,4.626133372,-0.681019933,-0.681019933
0.00001,0.10001,4.85856706,-0.684972931,-0.684972931
0.00001,0.15001,4.929846791,-0.686737079,-0.686737079
0.00001,0.20001,4.941428326,-0.688029248,-0.688029248
0.00001,0.25001,4.925727745,-0.689096523,-0.689096523
0.00001,0.30001,4.896396069,-0.690011635,-0.690011635
0.00001,0.35001,4.860065662,-0.690809237,-0.690809237
0.00001,0.40001,4.820251281,-0.691511349,-0.691511349
0.00001,0.45001,4.778922342,-0.692134037,-0.692134037
0.00001,0.50001,4.73722167,-0.692689769,-0.692689769
0.00001,0.55001,4.695824766,-0.693188517,-0.693188517
0.00001,0.60001,4.655131801,-0.693638389,-0.693638389
0.00001,0.65001,4.615375661,-0.694046055,-0.694046055
0.00001,0.70001,4.57668529,-0.694417048,-0.694417048
0.00001,0.75001,4.539124064,-0.694755996,-0.694755996
0.00001,0.80001,4.502713668,-0.695066796,-0.695066796
0.00001,0.85001,4.467449271,-0.695352748,-0.695352748
0.00001,0.90001,4.433309334,-0.695616664,-0.695616664
0.00001,0.95001,4.400262034,-0.695860956,-0.695860956
0.00001,1.00001,4.368269508,-0.6960877,-0.6960877
0.00001,1.05001,4.337290665,-0.696298692,-0.696298692
0.00001,1.10001,4.307283063,-0.696495497,-0.696495497
0.00001,1.15001,4.278204143,-0.696679479,-0.696679479
0.00001,1.20001,4.250012038,-0.696851837,-0.696851837
0.00001,1.25001,4.222666085,-0.697013624,-0.697013624
0.00001,1.30001,4.196127148,-0.697165772,-0.697165772
0.00001,1.35001,4.170357789,-0.697309109,-0.697309109
0.00001,1.40001,4.145322358,-0.697444368,-0.697444368
0.00001,1.45001,4.120987014,-0.697572208,-0.697572208
0.00001,1.50001,4.097319707,-0.697693215,-0.697693215
0.00001,1.55001,4.074290129,-0.697807918,-0.697807918
0.00001,1.60001,4.051869645,-0.697916792,-0.697916792
0.00001,1.65001,4.030031227,-0.698020265,-0.698020265
0.00001,1.70001,4.008749362,-0.698118726,-0.698118726
0.00001,1.75001,3.987999977,-0.698212527,-0.698212527
0.00001,1.80001,3.967760352,-0.698301989,-0.698301989
0.00001,1.85001,3.948009041,-0.698387402,-0.698387402
0.00001,1.90001,3.928725793,-0.698469032,-0.698469032
0.00001,1.95001,3.909891477,-0.698547124,-0.698547124
0.00001,2.00001,3.891488013,-0.698621901,-0.698621901
0.00001,2.05001,3.873498303,-0.698693567,-0.698693567
0.00001,2.10001,3.855906172,-0.698762311,-0.698762311
0.00001,2.15001,3.838696305,-0.698828307,-0.698828307
0.00001,2.20001,3.821854195,-0.698891715,-0.698891715
0.00001,2.25001,3.805366089,-0.698952682,-0.698952682
0.00001,2.30001,3.789218945,-0.699011346,-0.699011346
0.00001,2.35001,3.773400383,-0.699067834,-0.699067834
0.00001,2.40001,3.757898645,-0.699122264,-0.699122264
0.00001,2.45001,3.742702558,-0.699174745,-0.699174745
0.00001,2.50001,3.727801495,-0.699225379,-0.699225379
0.00001,2.55001,3.713185347,-0.699274262,-0.699274262
0.00001,2.60001,3.698844485,-0.699321481,-0.699321481
0.00001,2.65001,3.684769737,-0.699367121,-0.699367121
0.00001,2.70001,3.670952359,-0.699411257,-0.699411257
