alpha_1,alpha_2,Im(lambda_6),Re(lambda_6),Re(lambda_5)
0.00001,0.00001,4.088601634,-1.936807307,-1.936807307
0.00001,0.05001,1.154542567,-4.287464177,-4.287464177
0.00001,0.10001,0,-2.431261534,-3.890195215
0.00001,0.15001,0,-2.191765818,-3.38728872
0.00001,0.20001,0,-2.069378252,-3.081481218
0.00001,0.25001,0,-1.993609063,-2.855254944
0.00001,0.30001,0,-1.942095135,-2.675194905
0.00001,0.35001,0,-1.905363456,-2.52552935
0.00001,0.40001,0,-1.878800265,-2.397133716
0.00001,0.45001,0,-1.860127599,-2.283946083
0.00001,0.50001,0,-1.848613505,-2.181248785
0.00001,0.55001,0,-1.845449502,-2.08409377
0.00001,0.60001,0,-1.858803461,-1.981615926
0.00001,0.65001,0.066148591,-1.880245245,-1.880245245
0.00001,0.70001,0.103337515,-1.844116988,-1.844116988
0.00001,0.75001,0.124508367,-1.811232629,-1.811232629
0.00001,0.80001,0.138305118,-1.781122807,-1.781122807
0.00001,0.85001,0.147570722,-1.753409673,-1.753409673
0.00001,0.90001,0.15369922,-1.727784856,-1.727784856
0.00001,0.95001,0.157502458,-1.703993655,-1.703993655
0.00001,1.00001,0.159501084,-1.681823456,-1.681823456
0.00001,1.05001,0.160049653,-1.661095097,-1.661095097
0.00001,1.10001,0.159399093,-1.641656316,-1.641656316
0.00001,1.15001,0.157731175,-1.623376723,-1.623376723
0.00001,1.20001,0.155178871,-1.60614388,-1.60614388
0.00001,1.25001,0.151838892,-1.589860213,-1.589860213
0.00001,1.30001,0.147779536,-1.574440558,-1.574440558
0.00001,1.35001,0.143045422,-1.559810183,-1.559810183
0.00001,1.40001,0.137659942,-1.545903191,-1.545903191
0.00001,1.45001,0.131625688,-1.532661206,-1.532661206
0.00001,1.50001,0.124922701,-1.5200323,-1.5200323
0.00001,1.55001,0.117503791,-1.507970099,-1.507970099
0.00001,1.60001,0.109285109,-1.496433032,-1.496433032
0.00001,1.65001,0.100127831,-1.48538371,-1.48538371
0.00001,1.70001,0.089800786,-1.474788397,-1.474788397
0.00001,1.75001,0.077895118,-1.464616556,-1.464616556
0.00001,1.80001,0.063587966,-1.454840474,-1.454840474
0.00001,1.85001,0.04469851,-1.445434926,-1.445434926
0.00001,1.90001,0,-1.428427237,-1.44432656
0.00001,1.95001,0,-1.381437066,-1.47385362
0.00001,2.00001,0,-1.354306553,-1.484135372
0.00001,2.05001,0,-1.331741253,-1.49043081
0.00001,2.10001,0,-1.311697212,-1.494751253
0.00001,2.15001,0,-1.29336615,-1.497874874
0.00001,2.20001,0,-1.276325695,-1.500196228
0.00001,2.25001,0,-1.26031965,-1.50194576
0.00001,2.30001,0,-1.245177091,-1.503270511
0.00001,2.35001,0,-1.230776124,-1.504270195
0.00001,2.40001,0,-1.21702542,-1.505015505
0.00001,2.45001,0,-1.203853903,-1.505558291
0.00001,2.50001,0,-1.191204577,-1.505937614
0.00001,2.55001,0,-1.179030613,-1.506183543
0.00001,2.60001,0,-1.167292774,-1.50631964
0.00001,2.65001,0,-1.155957632,-1.506364644
0.00001,2.70001,0,-1.144996319,-1.506333654
0.00001,2.75001,0,-1.134383611,-1.50623896
0.00001,2.80001,0,-1.124097247,-1.506090668
0.00001,2.85001,0,-1.114117414,-1.505897153
0.00001,2.90001,0,-1.104426345,-1.505665404
0.00001,2.95001,0,-1.095008004,-1.505401295
0.00001,3.00001,0,-1.085847839,-1.505109787
0.00001,3.05001,0,-1.076932574,-1.504795095
0.00001,3.10001,0,-1.068250043,-1.504460811
0.00001,3.15001,0,-1.059789059,-1.504110014
0.00001,3.20001,0,-1.051539291,-1.503745347
0.00001,3.25001,0,-1.043491172,-1.503369092
0.00001,3.30001,0,-1.035635817,-1.50298322
0.00001,3.35001,0,-1.027964951,-1.50258944
0.00001,3.40001,0,-1.020470849,-1.502189237
0.00001,3.45001,0,-1.013146285,-1.501783902
0.00001,3.50001,0,-1.005984484,-1.501374563
0.00001,3.55001,0,-0.998979083,-1.500962203
0.00001,3.60001,0,-0.992124095,-1.500547682
0.00001,3.65001,0,-0.985413878,-1.500131752
0.00001,3.70001,0,-0.978843108,-1.49971507
0.00001,3.75001,0,-0.972406752,-1.499298214
0.00001,3.80001,0,-0.96610005,-1.498881689
0.00001,3.85001,0,-0.959918487,-1.498465936
0.00001,3.90001,0,-0.953857784,-1.498051342
0.00001,3.95001,0,-0.947913877,-1.497638246
0.00001,4.00001,0,-0.9420829,-1.497226943
0.00001,4.05001,0,-0.936361176,-1.496817692
0.00001,4.10001,0,-0.930745204,-1.496410715
0.00001,4.15001,0,-0.925231643,-1.496006208
0.00001,4.20001,0,-0.919817309,-1.49560434
0.00001,4.25001,0,-0.914499159,-1.495205255
0.00001,4.30001,0,-0.909274286,-1.494809079
0.00001,4.35001,0,-0.90413991,-1.494415917
0.00001,4.40001,0,-0.89909337,-1.494025859
0.00001,4.45001,0,-0.894132118,-1.49363898
0.00001,4.50001,0,-0.889253713,-1.493255343
0.00001,4.55001,0,-0.884455812,-1.492874999
0.00001,4.60001,0,-0.879736169,-1.492497988
0.00001,4.65001,0,-0.875092627,-1.492124341
0.00001,4.70001,0,-0.870523114,-1.491754083
0.00001,4.75001,0,-0.86602564,-1.491387228
0.00001,4.80001,0,-0.861598289,-1.491023788
0.00001,4.85001,0,-0.857239218,-1.490663764
0.00001,4.90001,0,-0.852946656,-1.490307157
0.00001,4.95001,0,-0.848718893,-1.48995396
0.05001,0.00001,12.77230272,-5.643730844,-5.643730844
0.05001,0.05001,9.378683956,-3.947582971,-3.947582971
0.05001,0.10001,8.589396807,-3.563369375,-3.563369375
0.05001,0.15001,8.121752989,-3.354255994,-3.354255994
0.05001,0.20001,7.789899922,-3.21684649,-3.21684649
0.05001,0.25001,7.533591251,-3.11765596,-3.11765596
0.05001,0.30001,7.325458553,-3.041830098,-3.041830098
0.05001,0.35001,7.150713656,-2.981567541,-2.981567541
0.05001,0.40001,7.000451738,-2.932304446,-2.932304446
0.05001,0.45001,6.868894274,-2.891161289,-2.891161289
0.05001,0.50001,6.752079428,-2.856216224,-2.856216224
0.05001,0.55001,6.647173628,-2.826129486,-2.826129486
0.05001,0.60001,6.552081097,-2.799934021,-2.799934021
0.05001,0.65001,6.46520881,-2.776911634,-2.776911634
0.05001,0.70001,6.385318096,-2.756516123,-2.756516123
0.05001,0.75001,6.311427186,-2.738323641,-2.738323641
0.05001,0.80001,6.242745056,-2.721999547,-2.721999547
0.05001,0.85001,6.17862525,-2.707275637,-2.707275637
0.05001,0.90001,6.118532854,-2.6939341,-2.6939341
0.05001,0.95001,6.062020373,-2.681795982,-2.681795982
0.05001,1.00001,6.00870977,-2.670712717,-2.670712717
0.05001,1.05001,5.958278897,-2.660559819,-2.660559819
0.05001,1.10001,5.910451058,-2.651232098,-2.651232098
0.05001,1.15001,5.864986908,-2.64263999,-2.64263999
0.05001,1.20001,5.821678064,-2.634706709,-2.634706709
0.05001,1.25001,5.780342023,-2.627366004,-2.627366004
0.05001,1.30001,5.740818085,-2.62056038,-2.62056038
0.05001,1.35001,5.702964034,-2.614239673,-2.614239673
0.05001,1.40001,5.666653435,-2.608359899,-2.608359899
0.05001,1.45001,5.6317734,-2.602882314,-2.602882314
0.05001,1.50001,5.598222736,-2.597772644,-2.597772644
0.05001,1.55001,5.565910397,-2.593000449,-2.593000449
0.05001,1.60001,5.534754186,-2.58853859,-2.58853859
0.05001,1.65001,5.504679651,-2.584362792,-2.584362792
0.05001,1.70001,5.475619153,-2.580451267,-2.580451267
0.05001,1.75001,5.447511065,-2.5767844,-2.5767844
0.05001,1.80001,5.420299089,-2.573344479,-2.573344479
0.05001,1.85001,5.393931663,-2.57011547,-2.57011547
0.05001,1.90001,5.368361452,-2.567082818,-2.567082818
0.05001,1.95001,5.3435449,-2.56423328,-2.56423328
0.05001,2.00001,5.319441843,-2.561554776,-2.561554776
0.05001,2.05001,5.29601517,-2.559036264,-2.559036264
0.05001,2.10001,5.273230524,-2.556667633,-2.556667633
0.05001,2.15001,5.25105604,-2.554439598,-2.554439598
0.05001,2.20001,5.229462109,-2.552343624,-2.552343624
0.05001,2.25001,5.208421178,-2.550371849,-2.550371849
0.05001,2.30001,5.187907559,-2.548517015,-2.548517015
0.05001,2.35001,5.167897271,-2.546772415,-2.546772415
0.05001,2.40001,5.148367893,-2.545131837,-2.545131837
0.05001,2.45001,5.129298432,-2.543589525,-2.543589525
0.05001,2.50001,5.110669207,-2.542140131,-2.542140131
0.05001,2.55001,5.092461739,-2.540778682,-2.540778682
0.05001,2.60001,5.074658664,-2.539500549,-2.539500549
0.05001,2.65001,5.057243637,-2.538301414,-2.538301414
0.05001,2.70001,5.040201264,-2.537177249,-2.537177249
0.05001,2.75001,5.023517021,-2.536124286,-2.536124286
0.05001,2.80001,5.007177198,-2.535139002,-2.535139002
0.05001,2.85001,4.991168837,-2.534218095,-2.534218095
0.05001,2.90001,4.975479677,-2.53335847,-2.53335847
0.05001,2.95001,4.960098109,-2.532557222,-2.532557222
0.05001,3.00001,4.945013129,-2.531811618,-2.531811618
0.05001,3.05001,4.930214298,-2.531119091,-2.531119091
0.05001,3.10001,4.915691702,-2.530477224,-2.530477224
0.05001,3.15001,4.901435921,-2.529883737,-2.529883737
0.05001,3.20001,4.887437998,-2.529336483,-2.529336483
0.05001,3.25001,4.873689404,-2.528833432,-2.528833432
0.05001,3.30001,4.860182018,-2.528372668,-2.528372668
0.05001,3.35001,4.846908096,-2.527952381,-2.527952381
0.05001,3.40001,4.833860254,-2.527570856,-2.527570856
0.05001,3.45001,4.821031439,-2.52722647,-2.52722647
0.05001,3.50001,4.808414919,-2.526917686,-2.526917686
0.05001,3.55001,4.796004256,-2.526643045,-2.526643045
0.05001,3.60001,4.783793292,-2.526401163,-2.526401163
0.05001,3.65001,4.771776137,-2.526190727,-2.526190727
0.05001,3.70001,4.759947147,-2.526010488,-2.526010488
0.05001,3.75001,4.748300916,-2.525859259,-2.525859259
0.05001,3.80001,4.736832261,-2.525735912,-2.525735912
0.05001,3.85001,4.72553621,-2.525639372,-2.525639372
0.05001,3.90001,4.714407991,-2.525568614,-2.525568614
0.05001,3.95001,4.703443023,-2.525522665,-2.525522665
0.05001,4.00001,4.692636902,-2.525500593,-2.525500593
0.05001,4.05001,4.681985397,-2.525501512,-2.525501512
0.05001,4.10001,4.671484439,-2.525524574,-2.525524574
0.05001,4.15001,4.661130112,-2.525568971,-2.525568971
0.05001,4.20001,4.650918646,-2.525633929,-2.525633929
0.05001,4.25001,4.640846414,-2.525718711,-2.525718711
0.05001,4.30001,4.630909916,-2.52582261,-2.52582261
0.05001,4.35001,4.621105783,-2.525944949,-2.525944949
0.05001,4.40001,4.611430764,-2.526085082,-2.526085082
0.05001,4.45001,4.601881724,-2.526242389,-2.526242389
0.05001,4.50001,4.592455637,-2.526416276,-2.526416276
0.05001,4.55001,4.583149581,-2.526606175,-2.526606175
0.05001,4.60001,4.573960735,-2.526811538,-2.526811538
0.05001,4.65001,4.564886373,-2.527031844,-2.527031844
0.05001,4.70001,4.55592386,-2.527266589,-2.527266589
0.05001,4.75001,4.547070649,-2.527515292,-2.527515292
0.05001,4.80001,4.538324276,-2.527777489,-2.527777489
0.05001,4.85001,4.529682356,-2.528052735,-2.528052735
0.05001,4.90001,4.521142581,-2.528340603,-2.528340603
0.05001,4.95001,4.512702719,-2.528640681,-2.528640681
0.10001,0.00001,12.78040785,-6.050005688,-6.050005688
0.10001,0.05001,10.05862759,-4.407964906,-4.407964906
0.10001,0.10001,9.334565776,-3.988466128,-3.988466128
0.10001,0.15001,8.890593527,-3.748236183,-3.748236183
0.10001,0.20001,8.568793359,-3.58471297,-3.58471297
0.10001,0.25001,8.316447066,-3.46335875,-3.46335875
0.10001,0.30001,8.109119306,-3.368410629,-3.368410629
0.10001,0.35001,7.933399245,-3.291402025,-3.291402025
0.10001,0.40001,7.781107756,-3.227286875,-3.227286875
0.10001,0.45001,7.646879732,-3.172830316,-3.172830316
0.10001,0.50001,7.527002397,-3.125843081,-3.125843081
0.10001,0.55001,7.418798548,-3.084779976,-3.084779976
0.10001,0.60001,7.32027364,-3.048513156,-3.048513156
0.10001,0.65001,7.229901692,-3.016196459,-3.016196459
0.10001,0.70001,7.146489148,-2.987180327,-2.987180327
0.10001,0.75001,7.069084893,-2.960956328,-2.960956328
0.10001,0.80001,6.996918813,-2.937119796,-2.937119796
0.10001,0.85001,6.929358672,-2.915343939,-2.915343939
0.10001,0.90001,6.865879109,-2.895361475,-2.895361475
0.10001,0.95001,6.806038893,-2.876951318,-2.876951318
0.10001,1.00001,6.749463913,-2.859928753,-2.859928753
0.10001,1.05001,6.695834264,-2.844138052,-2.844138052
0.10001,1.10001,6.644874295,-2.82944686,-2.82944686
0.10001,1.15001,6.596344832,-2.815741854,-2.815741854
0.10001,1.20001,6.550037045,-2.802925355,-2.802925355
0.10001,1.25001,6.505767541,-2.790912648,-2.790912648
0.10001,1.30001,6.463374414,-2.779629848,-2.779629848
0.10001,1.35001,6.422714034,-2.769012178,-2.769012178
0.10001,1.40001,6.383658405,-2.759002577,-2.759002577
0.10001,1.45001,6.346092993,-2.749550551,-2.749550551
0.10001,1.50001,6.309914908,-2.740611235,-2.740611235
0.10001,1.55001,6.27503139,-2.732144611,-2.732144611
0.10001,1.60001,6.241358526,-2.724114853,-2.724114853
0.10001,1.65001,6.208820171,-2.716489782,-2.716489782
0.10001,1.70001,6.177347021,-2.7092404,-2.7092404
0.10001,1.75001,6.146875824,-2.702340499,-2.702340499
0.10001,1.80001,6.117348697,-2.695766326,-2.695766326
0.10001,1.85001,6.088712545,-2.689496293,-2.689496293
0.10001,1.90001,6.060918547,-2.683510735,-2.683510735
0.10001,1.95001,6.033921712,-2.67779169,-2.67779169
0.10001,2.00001,6.007680494,-2.67232272,-2.67232272
0.10001,2.05001,5.982156452,-2.667088746,-2.667088746
0.10001,2.10001,5.957313946,-2.662075906,-2.662075906
0.10001,2.15001,5.933119879,-2.657271438,-2.657271438
0.10001,2.20001,5.909543459,-2.652663564,-2.652663564
0.10001,2.25001,5.886555994,-2.648241399,-2.648241399
0.10001,2.30001,5.864130704,-2.643994866,-2.643994866
0.10001,2.35001,5.84224256,-2.639914619,-2.639914619
0.10001,2.40001,5.820868132,-2.635991977,-2.635991977
0.10001,2.45001,5.79998546,-2.632218867,-2.632218867
0.10001,2.50001,5.779573931,-2.628587767,-2.628587767
0.10001,2.55001,5.759614177,-2.625091664,-2.625091664
0.10001,2.60001,5.740087974,-2.621724005,-2.621724005
0.10001,2.65001,5.720978153,-2.618478662,-2.618478662
0.10001,2.70001,5.702268527,-2.615349899,-2.615349899
0.10001,2.75001,5.683943811,-2.612332338,-2.612332338
0.10001,2.80001,5.665989563,-2.609420933,-2.609420933
0.10001,2.85001,5.648392118,-2.60661094,-2.60661094
0.10001,2.90001,5.631138539,-2.603897902,-2.603897902
0.10001,2.95001,5.614216564,-2.60127762,-2.60127762
0.10001,3.00001,5.59761456,-2.598746139,-2.598746139
0.10001,3.05001,5.581321481,-2.596299726,-2.596299726
0.10001,3.10001,5.565326833,-2.593934859,-2.593934859
0.10001,3.15001,5.549620634,-2.591648209,-2.591648209
0.10001,3.20001,5.534193382,-2.589436628,-2.589436628
0.10001,3.25001,5.519036027,-2.587297135,-2.587297135
0.10001,3.30001,5.504139943,-2.585226908,-2.585226908
0.10001,3.35001,5.489496901,-2.583223271,-2.583223271
0.10001,3.40001,5.475099045,-2.581283683,-2.581283683
0.10001,3.45001,5.460938871,-2.579405734,-2.579405734
0.10001,3.50001,5.447009206,-2.577587134,-2.577587134
0.10001,3.55001,5.43330319,-2.575825704,-2.575825704
0.10001,3.60001,5.419814256,-2.574119373,-2.574119373
0.10001,3.65001,5.406536116,-2.572466166,-2.572466166
0.10001,3.70001,5.393462746,-2.570864205,-2.570864205
0.10001,3.75001,5.380588367,-2.569311698,-2.569311698
0.10001,3.80001,5.367907438,-2.567806936,-2.567806936
0.10001,3.85001,5.355414641,-2.566348287,-2.566348287
0.10001,3.90001,5.343104867,-2.564934194,-2.564934194
0.10001,3.95001,5.330973208,-2.563563169,-2.563563169
0.10001,4.00001,5.319014946,-2.562233789,-2.562233789
0.10001,4.05001,5.307225544,-2.560944692,-2.560944692
0.10001,4.10001,5.295600636,-2.559694576,-2.559694576
0.10001,4.15001,5.284136018,-2.558482194,-2.558482194
0.10001,4.20001,5.272827641,-2.557306351,-2.557306351
0.10001,4.25001,5.261671607,-2.556165901,-2.556165901
0.10001,4.30001,5.250664154,-2.555059748,-2.555059748
0.10001,4.35001,5.239801657,-2.553986838,-2.553986838
0.10001,4.40001,5.229080617,-2.552946158,-2.552946158
0.10001,4.45001,5.218497658,-2.55193674,-2.55193674
0.10001,4.50001,5.20804952,-2.55095765,-2.55095765
0.10001,4.55001,5.197733055,-2.550007992,-2.550007992
0.10001,4.60001,5.187545219,-2.549086904,-2.549086904
0.10001,4.65001,5.177483072,-2.548193558,-2.548193558
0.10001,4.70001,5.167543771,-2.547327157,-2.547327157
0.10001,4.75001,5.157724563,-2.546486933,-2.546486933
0.10001,4.80001,5.148022787,-2.545672147,-2.545672147
0.10001,4.85001,5.138435867,-2.544882088,-2.544882088
0.10001,4.90001,5.128961307,-2.54411607,-2.54411607
0.10001,4.95001,5.119596691,-2.543373431,-2.543373431
0.15001,0.00001,12.76598256,-6.231875392,-6.231875392
0.15001,0.05001,10.41329589,-4.680022291,-4.680022291
0.15001,0.10001,9.740155645,-4.253545008,-4.253545008
0.15001,0.15001,9.318806802,-4.002135704,-4.002135704
