alpha_1,alpha_2,Im(lambda_6),Re(lambda_6),Re(lambda_5)
0.00001,0.00001,0,-3.834972203,-15.63409321
0.00001,0.05001,0,-2.495379878,-14.82431152
0.00001,0.10001,0,-2.068717029,-14.64663919
0.00001,0.15001,0,-1.817687595,-14.5546342
0.00001,0.20001,0,-1.645151653,-14.4955873
0.00001,0.25001,0,-1.516423858,-14.45345153
0.00001,0.30001,0,-1.415289149,-14.4213867
0.00001,0.35001,0,-1.332939773,-14.39590361
0.00001,0.40001,0,-1.264098069,-14.37500645
0.00001,0.45001,0,-1.205372628,-14.35745832
0.00001,0.50001,0,-1.154466469,-14.34244559
0.00001,0.55001,0,-1.109758563,-14.32940784
0.00001,0.60001,0,-1.070066433,-14.31794455
0.00001,0.65001,0,-1.034503701,-14.30776075
0.00001,0.70001,0,-1.002390598,-14.29863368
0.00001,0.75001,0,-0.973195585,-14.2903915
0.00001,0.80001,0,-0.946496018,-14.28289922
0.00001,0.85001,0,-0.921950905,-14.27604909
0.00001,0.90001,0,-0.899281587,-14.26975392
0.00001,0.95001,0,-0.878257741,-14.26394229
0.00001,1.00001,0,-0.858687066,-14.25855505
0.00001,1.05001,0,-0.840407531,-14.25354272
0.00001,1.10001,0,-0.823281489,-14.24886357
0.00001,1.15001,0,-0.807191135,-14.24448211
0.00001,1.20001,0,-0.792034954,-14.24036792
0.00001,1.25001,0,-0.777724922,-14.2364948
0.00001,1.30001,0,-0.764184281,-14.23283999
0.00001,1.35001,0,-0.751345738,-14.22938366
0.00001,1.40001,0,-0.73915001,-14.22610839
0.00001,1.45001,0,-0.727544637,-14.22299887
0.00001,1.50001,0,-0.716482995,-14.22004152
0.00001,1.55001,0,-0.70592349,-14.21722427
0.00001,1.60001,0,-0.695828873,-14.21453637
0.00001,1.65001,0,-0.686165675,-14.21196817
0.00001,1.70001,0,-0.676903724,-14.20951102
0.00001,1.75001,0,-0.668015737,-14.20715712
0.00001,1.80001,0,-0.659476975,-14.2048994
0.00001,1.85001,0,-0.651264943,-14.20273147
0.00001,1.90001,0,-0.643359132,-14.20064752
0.00001,1.95001,0,-0.635740802,-14.19864224
0.00001,2.00001,0,-0.62839279,-14.19671078
0.00001,2.05001,0,-0.621299338,-14.19484872
0.00001,2.10001,0,-0.614445953,-14.19305198
0.00001,2.15001,0,-0.607819278,-14.19131682
0.00001,2.20001,0,-0.601406976,-14.18963979
0.00001,2.25001,0,-0.595197638,-14.18801771
0.00001,2.30001,0,-0.589180688,-14.18644762
0.00001,2.35001,0,-0.583346312,-14.18492681
0.00001,2.40001,0,-0.577685384,-14.18345274
0.00001,2.45001,0,-0.572189408,-14.18202306
0.00001,2.50001,0,-0.566850464,-14.18063558
0.00001,2.55001,0,-0.561661153,-14.17928826
0.00001,2.60001,0,-0.55661456,-14.17797918
0.00001,2.65001,0,-0.551704211,-14.17670658
0.00001,2.70001,0,-0.546924035,-14.17546878
0.00001,2.75001,0,-0.542268339,-14.17426422
0.00001,2.80001,0,-0.537731771,-14.17309144
0.00001,2.85001,0,-0.533309298,-14.17194905
0.00001,2.90001,0,-0.528996181,-14.17083578
0.00001,2.95001,0,-0.524787954,-14.16975038
0.00001,3.00001,0,-0.520680401,-14.16869173
0.00001,3.05001,0,-0.516669542,-14.16765873
0.00001,3.10001,0,-0.512751617,-14.16665037
0.00001,3.15001,0,-0.508923064,-14.16566567
0.00001,3.20001,0,-0.505180512,-14.16470373
0.00001,3.25001,0,-0.501520768,-14.16376367
0.00001,3.30001,0,-0.4979408,-14.16284468
0.00001,3.35001,0,-0.494437732,-14.16194599
0.00001,3.40001,0,-0.491008831,-14.16106685
0.00001,3.45001,0,-0.487651498,-14.16020656
0.00001,3.50001,0,-0.48436326,-14.15936446
0.00001,3.55001,0,-0.481141765,-14.15853991
0.00001,3.60001,0,-0.477984769,-14.15773232
0.00001,3.65001,0,-0.474890134,-14.1569411
0.00001,3.70001,0,-0.471855821,-14.15616571
0.00001,3.75001,0,-0.468879882,-14.15540563
0.00001,3.80001,0,-0.465960456,-14.15466035
0.00001,3.85001,0,-0.463095766,-14.15392942
0.00001,3.90001,0,-0.460284113,-14.15321235
0.00001,3.95001,0,-0.457523868,-14.15250874
0.00001,4.00001,0,-0.454813474,-14.15181815
0.00001,4.05001,0,-0.452151439,-14.15114019
0.00001,4.10001,0,-0.449536334,-14.15047448
0.00001,4.15001,0,-0.446966786,-14.14982066
0.00001,4.20001,0,-0.444441479,-14.14917837
0.00001,4.25001,0,-0.441959151,-14.14854727
0.00001,4.30001,0,-0.43951859,-14.14792705
0.00001,4.35001,0,-0.437118629,-14.1473174
0.00001,4.40001,0,-0.434758148,-14.14671802
0.00001,4.45001,0,-0.432436071,-14.14612862
0.00001,4.50001,0,-0.43015136,-14.14554892
0.00001,4.55001,0,-0.427903019,-14.14497868
0.00001,4.60001,0,-0.425690087,-14.14441762
0.00001,4.65001,0,-0.423511639,-14.14386551
0.00001,4.70001,0,-0.421366783,-14.1433221
0.00001,4.75001,0,-0.419254659,-14.14278718
0.00001,4.80001,0,-0.417174438,-14.14226053
0.00001,4.85001,0,-0.415125322,-14.14174192
0.00001,4.90001,0,-0.413106537,-14.14123117
0.00001,4.95001,0,-0.411117339,-14.14072807
0.05001,0.00001,2.992999589,-13.58056138,-13.58056138
0.05001,0.05001,0.775057881,-12.23032053,-12.23032053
0.05001,0.10001,0,-10.12326439,-13.48494578
0.05001,0.15001,0,-9.288949659,-13.80563721
0.05001,0.20001,0,-8.755735794,-13.97553442
0.05001,0.25001,0,-8.366049579,-14.08705422
0.05001,0.30001,0,-8.061327877,-14.16830666
0.05001,0.35001,0,-7.812800007,-14.23135284
