alpha_1,alpha_2,Im(lambda_6),Re(lambda_6),Re(lambda_5)
0.00001,0.00001,4.08014681,-0.557073411,-0.557073411
0.00001,0.05001,7.224655664,-1.556805183,-1.556805183
0.00001,0.10001,6.856245668,-1.274632618,-1.274632618
0.00001,0.15001,6.551651205,-1.137935877,-1.137935877
0.00001,0.20001,6.304893221,-1.055896768,-1.055896768
0.00001,0.25001,6.100230461,-1.00076418,-1.00076418
0.00001,0.30001,5.926508346,-0.960992524,-0.960992524
0.00001,0.35001,5.77620726,-0.930864489,-0.930864489
0.00001,0.40001,5.644144732,-0.907207796,-0.907207796
0.00001,0.45001,5.526635799,-0.888114091,-0.888114091
0.00001,0.50001,5.420981401,-0.872363505,-0.872363505
0.00001,0.55001,5.325152191,-0.859138421,-0.859138421
0.00001,0.60001,5.237587371,-0.847869543,-0.847869543
0.00001,0.65001,5.15706274,-0.838147857,-0.838147857
0.00001,0.70001,5.082601603,-0.829671687,-0.829671687
0.00001,0.75001,5.013413051,-0.822213499,-0.822213499
0.00001,0.80001,4.948848179,-0.815598348,-0.815598348
0.00001,0.85001,4.888368381,-0.80968945,-0.80968945
0.00001,0.90001,4.831521963,-0.804378275,-0.804378275
0.00001,0.95001,4.777926599,-0.799577579,-0.799577579
0.00001,1.00001,4.727255967,-0.795216409,-0.795216409
0.00001,1.05001,4.679229437,-0.791236457,-0.791236457
0.00001,1.10001,4.633604014,-0.787589349,-0.787589349
0.00001,1.15001,4.590167967,-0.784234611,-0.784234611
0.00001,1.20001,4.548735744,-0.781138111,-0.781138111
0.00001,1.25001,4.509143875,-0.778270862,-0.778270862
0.00001,1.30001,4.47124764,-0.775608082,-0.775608082
0.00001,1.35001,4.434918339,-0.773128453,-0.773128453
0.00001,1.40001,4.400041039,-0.770813542,-0.770813542
0.00001,1.45001,4.366512698,-0.768647318,-0.768647318
0.00001,1.50001,4.334240599,-0.766615777,-0.766615777
0.00001,1.55001,4.303141034,-0.764706631,-0.764706631
0.00001,1.60001,4.273138181,-0.762909047,-0.762909047
0.00001,1.65001,4.244163163,-0.761213443,-0.761213443
0.00001,1.70001,4.216153226,-0.759611307,-0.759611307
0.00001,1.75001,4.189051051,-0.758095056,-0.758095056
0.00001,1.80001,4.162804145,-0.756657907,-0.756657907
0.00001,1.85001,4.137364327,-0.755293779,-0.755293779
0.00001,1.90001,4.112687267,-0.753997199,-0.753997199
0.00001,1.95001,4.088732098,-0.752763233,-0.752763233
0.00001,2.00001,4.065461063,-0.751587415,-0.751587415
0.00001,2.05001,4.042839216,-0.7504657,-0.7504657
0.00001,2.10001,4.020834151,-0.749394408,-0.749394408
0.00001,2.15001,3.999415763,-0.748370188,-0.748370188
0.00001,2.20001,3.978556043,-0.747389982,-0.747389982
0.00001,2.25001,3.958228885,-0.74645099,-0.74645099
0.00001,2.30001,3.938409923,-0.745550649,-0.745550649
0.00001,2.35001,3.919076379,-0.744686601,-0.744686601
0.00001,2.40001,3.900206934,-0.743856681,-0.743856681
0.00001,2.45001,3.881781603,-0.74305889,-0.74305889
0.00001,2.50001,3.863781631,-0.742291385,-0.742291385
0.00001,2.55001,3.84618939,-0.741552462,-0.741552462
0.00001,2.60001,3.828988302,-0.740840542,-0.740840542
0.00001,2.65001,3.812162745,-0.740154161,-0.740154161
0.00001,2.70001,3.795697994,-0.739491959,-0.739491959
0.00001,2.75001,3.779580146,-0.738852673,-0.738852673
0.00001,2.80001,3.763796067,-0.738235124,-0.738235124
0.00001,2.85001,3.74833333,-0.737638216,-0.737638216
0.00001,2.90001,3.733180174,-0.737060924,-0.737060924
0.00001,2.95001,3.718325452,-0.736502289,-0.736502289
0.00001,3.00001,3.703758591,-0.735961415,-0.735961415
0.00001,3.05001,3.689469555,-0.735437465,-0.735437465
0.00001,3.10001,3.67544881,-0.734929649,-0.734929649
0.00001,3.15001,3.661687288,-0.73443723,-0.73443723
0.00001,3.20001,3.648176361,-0.733959513,-0.733959513
0.00001,3.25001,3.634907814,-0.733495845,-0.733495845
0.00001,3.30001,3.621873817,-0.733045612,-0.733045612
0.00001,3.35001,3.6090669,-0.732608234,-0.732608234
0.00001,3.40001,3.596479939,-0.732183165,-0.732183165
0.00001,3.45001,3.584106125,-0.731769889,-0.731769889
0.00001,3.50001,3.571938955,-0.73136792,-0.73136792
0.00001,3.55001,3.55997221,-0.730976796,-0.730976796
0.00001,3.60001,3.548199937,-0.730596082,-0.730596082
0.00001,3.65001,3.53661644,-0.730225366,-0.730225366
0.00001,3.70001,3.525216261,-0.729864256,-0.729864256
0.00001,3.75001,3.513994167,-0.729512381,-0.729512381
0.00001,3.80001,3.502945141,-0.729169389,-0.729169389
0.00001,3.85001,3.492064369,-0.728834947,-0.728834947
0.00001,3.90001,3.481347228,-0.728508737,-0.728508737
0.00001,3.95001,3.470789279,-0.728190456,-0.728190456
0.00001,4.00001,3.460386254,-0.727879817,-0.727879817
0.00001,4.05001,3.450134051,-0.727576548,-0.727576548
0.00001,4.10001,3.440028723,-0.727280386,-0.727280386
0.00001,4.15001,3.430066472,-0.726991084,-0.726991084
0.00001,4.20001,3.420243641,-0.726708405,-0.726708405
0.00001,4.25001,3.410556706,-0.726432122,-0.726432122
0.00001,4.30001,3.401002273,-0.726162021,-0.726162021
0.00001,4.35001,3.391577068,-0.725897893,-0.725897893
0.00001,4.40001,3.382277935,-0.725639543,-0.725639543
0.00001,4.45001,3.373101828,-0.725386781,-0.725386781
0.00001,4.50001,3.364045806,-0.725139428,-0.725139428
0.00001,4.55001,3.35510703,-0.724897311,-0.724897311
0.00001,4.60001,3.346282757,-0.724660263,-0.724660263
0.00001,4.65001,3.337570337,-0.724428128,-0.724428128
0.00001,4.70001,3.328967208,-0.724200752,-0.724200752
0.00001,4.75001,3.320470891,-0.72397799,-0.72397799
0.00001,4.80001,3.31207899,-0.723759703,-0.723759703
0.00001,4.85001,3.303789185,-0.723545756,-0.723545756
0.00001,4.90001,3.295599231,-0.72333602,-0.72333602
0.00001,4.95001,3.287506952,-0.723130371,-0.723130371
0.05001,0.00001,5.049636848,0.003532356,0.003532356
0.05001,0.05001,8.503757842,-3.793181914,-3.793181914
0.05001,0.10001,7.622001051,-4.098089166,-4.098089166
0.05001,0.15001,7.125691678,-4.199462471,-4.199462471
0.05001,0.20001,6.797848582,-4.238240313,-4.238240313
0.05001,0.25001,6.562742132,-4.250626051,-4.250626051
0.05001,0.30001,6.385373125,-4.250183304,-4.250183304
0.05001,0.35001,6.246845749,-4.243029355,-4.243029355
0.05001,0.40001,6.135889177,-4.232247015,-4.232247015
0.05001,0.45001,6.04529461,-4.21950715,-4.21950715
0.05001,0.50001,5.970205737,-4.205761427,-4.205761427
0.05001,0.55001,5.907216646,-4.191570376,-4.191570376
0.05001,0.60001,5.853860358,-4.177271091,-4.177271091
0.05001,0.65001,5.808302033,-4.163068121,-4.163068121
0.05001,0.70001,5.769146386,-4.149085071,-4.149085071
0.05001,0.75001,5.735312174,-4.135395017,-4.135395017
0.05001,0.80001,5.705947761,-4.122038974,-4.122038974
0.05001,0.85001,5.680372779,-4.109037414,-4.109037414
0.05001,0.90001,5.65803685,-4.096397581,-4.096397581
0.05001,0.95001,5.638489793,-4.084118225,-4.084118225
0.05001,1.00001,5.621359718,-4.072192708,-4.072192708
0.05001,1.05001,5.606336661,-4.060611047,-4.060611047
0.05001,1.10001,5.593160187,-4.049361292,-4.049361292
0.05001,1.15001,5.581609868,-4.038430431,-4.038430431
0.05001,1.20001,5.571497888,-4.027805006,-4.027805006
0.05001,1.25001,5.562663238,-4.017471511,-4.017471511
0.05001,1.30001,5.554967111,-4.007416664,-4.007416664
0.05001,1.35001,5.548289216,-3.997627568,-3.997627568
0.05001,1.40001,5.542524811,-3.988091822,-3.988091822
0.05001,1.45001,5.537582282,-3.978797573,-3.978797573
0.05001,1.50001,5.533381166,-3.969733548,-3.969733548
0.05001,1.55001,5.529850522,-3.96088906,-3.96088906
0.05001,1.60001,5.526927576,-3.952253999,-3.952253999
0.05001,1.65001,5.524556593,-3.943818818,-3.943818818
0.05001,1.70001,5.52268793,-3.935574511,-3.935574511
0.05001,1.75001,5.52127724,-3.927512587,-3.927512587
0.05001,1.80001,5.520284794,-3.919625045,-3.919625045
0.05001,1.85001,5.519674907,-3.911904342,-3.911904342
0.05001,1.90001,5.519415445,-3.904343372,-3.904343372
0.05001,1.95001,5.519477403,-3.896935435,-3.896935435
0.05001,2.00001,5.519834543,-3.889674212,-3.889674212
0.05001,2.05001,5.520463081,-3.882553742,-3.882553742
0.05001,2.10001,5.521341409,-3.875568397,-3.875568397
0.05001,2.15001,5.522449865,-3.868712862,-3.868712862
0.05001,2.20001,5.523770519,-3.861982114,-3.861982114
0.05001,2.25001,5.525286998,-3.855371401,-3.855371401
0.05001,2.30001,5.52698432,-3.84887623,-3.84887623
0.05001,2.35001,5.528848762,-3.842492342,-3.842492342
0.05001,2.40001,5.530867727,-3.836215702,-3.836215702
0.05001,2.45001,5.533029641,-3.830042486,-3.830042486
0.05001,2.50001,5.535323854,-3.823969063,-3.823969063
0.05001,2.55001,5.537740552,-3.817991985,-3.817991985
0.05001,2.60001,5.540270683,-3.812107977,-3.812107977
0.05001,2.65001,5.542905885,-3.806313923,-3.806313923
0.05001,2.70001,5.545638425,-3.80060686,-3.80060686
0.05001,2.75001,5.548461145,-3.794983965,-3.794983965
0.05001,2.80001,5.551367414,-3.789442549,-3.789442549
0.05001,2.85001,5.55435108,-3.783980048,-3.783980048
0.05001,2.90001,5.557406429,-3.778594015,-3.778594015
0.05001,2.95001,5.560528154,-3.773282116,-3.773282116
0.05001,3.00001,5.563711317,-3.76804212,-3.76804212
0.05001,3.05001,5.566951321,-3.762871895,-3.762871895
0.05001,3.10001,5.570243886,-3.757769401,-3.757769401
0.05001,3.15001,5.573585017,-3.752732688,-3.752732688
0.05001,3.20001,5.57697099,-3.747759886,-3.747759886
0.05001,3.25001,5.580398327,-3.742849207,-3.742849207
0.05001,3.30001,5.583863776,-3.737998934,-3.737998934
0.05001,3.35001,5.5873643,-3.733207422,-3.733207422
0.05001,3.40001,5.590897056,-3.728473091,-3.728473091
0.05001,3.45001,5.594459383,-3.723794427,-3.723794427
0.05001,3.50001,5.598048789,-3.719169972,-3.719169972
0.05001,3.55001,5.601662937,-3.714598328,-3.714598328
0.05001,3.60001,5.605299639,-3.710078148,-3.710078148
0.05001,3.65001,5.608956841,-3.705608139,-3.705608139
0.05001,3.70001,5.612632615,-3.701187054,-3.701187054
0.05001,3.75001,5.61632515,-3.696813695,-3.696813695
0.05001,3.80001,5.620032748,-3.692486905,-3.692486905
0.05001,3.85001,5.623753811,-3.688205572,-3.688205572
0.05001,3.90001,5.627486837,-3.683968621,-3.683968621
0.05001,3.95001,5.631230415,-3.679775018,-3.679775018
0.05001,4.00001,5.634983217,-3.675623763,-3.675623763
0.05001,4.05001,5.638743994,-3.671513892,-3.671513892
0.05001,4.10001,5.64251157,-3.667444473,-3.667444473
0.05001,4.15001,5.646284838,-3.663414607,-3.663414607
0.05001,4.20001,5.650062756,-3.659423424,-3.659423424
0.05001,4.25001,5.653844342,-3.655470083,-3.655470083
0.05001,4.30001,5.657628671,-3.651553771,-3.651553771
0.05001,4.35001,5.661414872,-3.647673702,-3.647673702
0.05001,4.40001,5.665202125,-3.643829114,-3.643829114
0.05001,4.45001,5.668989655,-3.64001927,-3.64001927
0.05001,4.50001,5.672776735,-3.636243456,-3.636243456
0.05001,4.55001,5.676562675,-3.63250098,-3.63250098
0.05001,4.60001,5.680346829,-3.628791172,-3.628791172
0.05001,4.65001,5.684128586,-3.625113382,-3.625113382
0.05001,4.70001,5.687907369,-3.621466981,-3.621466981
0.05001,4.75001,5.691682638,-3.617851356,-3.617851356
0.05001,4.80001,5.695453879,-3.614265914,-3.614265914
0.05001,4.85001,5.699220611,-3.610710079,-3.610710079
0.05001,4.90001,5.702982379,-3.607183294,-3.607183294
0.05001,4.95001,5.706738756,-3.603685013,-3.603685013
0.10001,0.00001,5.692169044,0.163549341,0.163549341
0.10001,0.05001,9.436882464,-3.465638743,-3.465638743
0.10001,0.10001,8.547531057,-3.866635157,-3.866635157
0.10001,0.15001,8.010492089,-4.040081898,-4.040081898
0.10001,0.20001,7.635672637,-4.133430346,-4.133430346
0.10001,0.25001,7.353696399,-4.188332968,-4.188332968
0.10001,0.30001,7.131524315,-4.221799107,-4.221799107
0.10001,0.35001,6.950858463,-4.242200914,-4.242200914
0.10001,0.40001,6.800522907,-4.254161507,-4.254161507
0.10001,0.45001,6.673205129,-4.260441452,-4.260441452
0.10001,0.50001,6.563869418,-4.262785101,-4.262785101
0.10001,0.55001,6.468908175,-4.262342791,-4.262342791
0.10001,0.60001,6.385654261,-4.259898807,-4.259898807
0.10001,0.65001,6.312084538,-4.25600224,-4.25600224
0.10001,0.70001,6.246631231,-4.25104588,-4.25104588
0.10001,0.75001,6.188057285,-4.245315706,-4.245315706
0.10001,0.80001,6.135371361,-4.239022991,-4.239022991
0.10001,0.85001,6.087768278,-4.232325702,-4.232325702
0.10001,0.90001,6.044586303,-4.225343129,-4.225343129
0.10001,0.95001,6.005275899,-4.218166078,-4.218166078
0.10001,1.00001,5.969376444,-4.210864114,-4.210864114
0.10001,1.05001,5.936498609,-4.203490777,-4.203490777
0.10001,1.10001,5.90631084,-4.19608741,-4.19608741
0.10001,1.15001,5.878528847,-4.188685982,-4.188685982
0.10001,1.20001,5.85290734,-4.18131121,-4.18131121
0.10001,1.25001,5.829233466,-4.173982159,-4.173982159
0.10001,1.30001,5.807321547,-4.166713472,-4.166713472
0.10001,1.35001,5.787008821,-4.159516306,-4.159516306
0.10001,1.40001,5.768151969,-4.152399064,-4.152399064
0.10001,1.45001,5.750624266,-4.145367968,-4.145367968
0.10001,1.50001,5.73431322,-4.138427503,-4.138427503
0.10001,1.55001,5.719118611,-4.131580771,-4.131580771
0.10001,1.60001,5.704950844,-4.124829776,-4.124829776
0.10001,1.65001,5.69172957,-4.11817564,-4.11817564
0.10001,1.70001,5.679382511,-4.111618789,-4.111618789
0.10001,1.75001,5.667844468,-4.105159094,-4.105159094
0.10001,1.80001,5.657056465,-4.098795984,-4.098795984
0.10001,1.85001,5.646965025,-4.092528544,-4.092528544
0.10001,1.90001,5.637521538,-4.08635559,-4.08635559
0.10001,1.95001,5.628681716,-4.080275726,-4.080275726
0.10001,2.00001,5.620405127,-4.074287398,-4.074287398
0.10001,2.05001,5.612654776,-4.068388934,-4.068388934
0.10001,2.10001,5.605396751,-4.062578577,-4.062578577
0.10001,2.15001,5.59859991,-4.056854507,-4.056854507
0.10001,2.20001,5.592235597,-4.051214871,-4.051214871
0.10001,2.25001,5.586277404,-4.045657792,-4.045657792
0.10001,2.30001,5.580700956,-4.04018139,-4.04018139
0.10001,2.35001,5.575483713,-4.034783789,-4.034783789
0.10001,2.40001,5.570604808,-4.029463129,-4.029463129
0.10001,2.45001,5.56604489,-4.02421757,-4.02421757
0.10001,2.50001,5.561785992,-4.0190453,-4.0190453
0.10001,2.55001,5.557811409,-4.013944539,-4.013944539
0.10001,2.60001,5.554105589,-4.008913544,-4.008913544
0.10001,2.65001,5.550654038,-4.003950608,-4.003950608
0.10001,2.70001,5.547443229,-3.999054064,-3.999054064
0.10001,2.75001,5.544460525,-3.994222287,-3.994222287
0.10001,2.80001,5.541694109,-3.989453691,-3.989453691
0.10001,2.85001,5.539132915,-3.984746735,-3.984746735
0.10001,2.90001,5.536766574,-3.980099918,-3.980099918
0.10001,2.95001,5.534585359,-3.975511783,-3.975511783
0.10001,3.00001,5.532580134,-3.970980913,-3.970980913
0.10001,3.05001,5.530742316,-3.966505932,-3.966505932
0.10001,3.10001,5.529063828,-3.962085505,-3.962085505
0.10001,3.15001,5.527537067,-3.957718335,-3.957718335
0.10001,3.20001,5.52615487,-3.953403166,-3.953403166
0.10001,3.25001,5.524910479,-3.949138777,-3.949138777
0.10001,3.30001,5.52379752,-3.944923985,-3.944923985
0.10001,3.35001,5.522809969,-3.940757643,-3.940757643
0.10001,3.40001,5.521942135,-3.936638638,-3.936638638
0.10001,3.45001,5.521188633,-3.932565891,-3.932565891
0.10001,3.50001,5.520544368,-3.928538355,-3.928538355
0.10001,3.55001,5.520004514,-3.924555016,-3.924555016
0.10001,3.60001,5.519564496,-3.920614889,-3.920614889
0.10001,3.65001,5.519219976,-3.916717019,-3.916717019
0.10001,3.70001,5.518966838,-3.91286048,-3.91286048
0.10001,3.75001,5.518801174,-3.909044374,-3.909044374
0.10001,3.80001,5.518719269,-3.905267829,-3.905267829
0.10001,3.85001,5.518717594,-3.90153,-3.90153
0.10001,3.90001,5.518792792,-3.897830065,-3.897830065
0.10001,3.95001,5.518941668,-3.894167228,-3.894167228
0.10001,4.00001,5.519161179,-3.890540715,-3.890540715
0.10001,4.05001,5.519448427,-3.886949776,-3.886949776
0.10001,4.10001,5.519800652,-3.883393682,-3.883393682
0.10001,4.15001,5.520215219,-3.879871724,-3.879871724
0.10001,4.20001,5.520689616,-3.876383215,-3.876383215
0.10001,4.25001,5.521221445,-3.872927486,-3.872927486
0.10001,4.30001,5.521808416,-3.869503888,-3.869503888
0.10001,4.35001,5.522448342,-3.86611179,-3.86611179
0.10001,4.40001,5.523139133,-3.862750578,-3.862750578
0.10001,4.45001,5.523878791,-3.859419656,-3.859419656
0.10001,4.50001,5.524665403,-3.856118444,-3.856118444
0.10001,4.55001,5.525497141,-3.852846378,-3.852846378
0.10001,4.60001,5.526372255,-3.849602909,-3.849602909
0.10001,4.65001,5.527289066,-3.846387503,-3.846387503
0.10001,4.70001,5.528245971,-3.843199641,-3.843199641
0.10001,4.75001,5.529241429,-3.840038817,-3.840038817
0.10001,4.80001,5.530273966,-3.836904538,-3.836904538
0.10001,4.85001,5.531342167,-3.833796326,-3.833796326
0.10001,4.90001,5.532444675,-3.830713713,-3.830713713
0.10001,4.95001,5.533580187,-3.827656245,-3.827656245
0.15001,0.00001,6.10356334,0.263535159,0.263535159
0.15001,0.05001,9.969080648,-3.245610983,-3.245610983
0.15001,0.10001,9.102454596,-3.683807391,-3.683807391
0.15001,0.15001,8.561815227,-3.891201192,-3.891201192
0.15001,0.20001,8.175230508,-4.012892775,-4.012892775
0.15001,0.25001,7.878379005,-4.091563696,-4.091563696
0.15001,0.30001,7.640158768,-4.145198951,-4.145198951
0.15001,0.35001,7.443147905,-4.18290688,-4.18290688
