alpha_1,alpha_2,imaginary,real
0.036,12960.036,1.505616361,-0.697526415
0.036,12600.036,1.505616433,-0.697526414
0.036,12240.036,1.505616509,-0.697526414
0.036,11880.036,1.50561659,-0.697526413
0.036,11520.036,1.505616675,-0.697526412
0.036,11160.036,1.505616767,-0.697526411
0.036,10800.036,1.505616864,-0.69752641
0.036,10440.036,1.505616968,-0.697526409
0.036,10080.036,1.50561708,-0.697526408
0.036,9720.036,1.5056172,-0.697526407
0.036,9360.036,1.505617329,-0.697526406
0.036,9000.036,1.505617468,-0.697526404
0.036,8640.036,1.505617619,-0.697526403
0.036,8280.036,1.505617783,-0.697526402
0.036,7920.036,1.505617962,-0.6975264
0.036,7560.036,1.505618158,-0.697526398
0.036,7200.036,1.505618374,-0.697526396
0.036,6840.036,1.505618612,-0.697526394
0.036,6480.036,1.505618877,-0.697526391
0.036,6120.036,1.505619173,-0.697526389
0.036,5760.036,1.505619506,-0.697526385
0.036,5400.036,1.505619883,-0.697526382
0.036,5040.036,1.505620314,-0.697526378
0.036,4680.036,1.505620812,-0.697526374
0.036,4320.036,1.505621392,-0.697526368
0.036,3960.036,1.505622078,-0.697526362
0.036,3600.036,1.505622901,-0.697526355
0.036,3240.036,1.505623907,-0.697526346
0.036,2880.036,1.505625164,-0.697526335
0.036,2520.036,1.505626779,-0.697526321
0.036,2160.036,1.505628933,-0.697526303
0.036,1800.036,1.505631947,-0.697526278
0.036,1440.036,1.505636466,-0.697526242
0.036,1080.036,1.505643992,-0.697526187
0.036,720.036,1.505659022,-0.697526094
0.036,360.036,1.505703932,-0.697525941
360.036,35640.036,1.514738941,-0.697437026
360.036,35280.036,1.514831749,-0.697436114
360.036,34920.036,1.514926463,-0.697435182
360.036,34560.036,1.515023144,-0.697434231
360.036,34200.036,1.515121853,-0.69743326
360.036,33840.036,1.515222656,-0.697432268
360.036,33480.036,1.515325619,-0.697431255
360.036,33120.036,1.515430812,-0.69743022
360.036,32760.036,1.515538309,-0.697429163
360.036,32400.036,1.515648186,-0.697428081
360.036,32040.036,1.515760524,-0.697426976
360.036,31680.036,1.515875406,-0.697425845
360.036,31320.036,1.515992918,-0.697424688
360.036,30960.036,1.516113154,-0.697423505
360.036,30600.036,1.516236207,-0.697422293
360.036,30240.036,1.51636218,-0.697421053
360.036,29880.036,1.516491176,-0.697419782
360.036,29520.036,1.516623306,-0.697418481
360.036,29160.036,1.516758686,-0.697417148
360.036,28800.036,1.516897436,-0.697415781
360.036,28440.036,1.517039685,-0.697414379
360.036,28080.036,1.517185567,-0.697412942
360.036,27720.036,1.517335221,-0.697411467
360.036,27360.036,1.517488798,-0.697409954
360.036,27000.036,1.517646452,-0.6974084
360.036,26640.036,1.517808349,-0.697406804
360.036,26280.036,1.517974662,-0.697405164
360.036,25920.036,1.518145574,-0.697403479
360.036,25560.036,1.518321279,-0.697401746
360.036,25200.036,1.518501981,-0.697399964
360.036,24840.036,1.518687897,-0.69739813
360.036,24480.036,1.518879255,-0.697396242
360.036,24120.036,1.519076298,-0.697394298
360.036,23760.036,1.519279283,-0.697392294
360.036,23400.036,1.519488483,-0.697390229
360.036,23040.036,1.519704187,-0.6973881
360.036,22680.036,1.519926705,-0.697385903
360.036,22320.036,1.520156364,-0.697383635
360.036,21960.036,1.520393513,-0.697381292
360.036,21600.036,1.520638526,-0.697378871
360.036,21240.036,1.520891798,-0.697376369
360.036,20880.036,1.521153757,-0.69737378
360.036,20520.036,1.521424855,-0.6973711
360.036,20160.036,1.52170558,-0.697368324
360.036,19800.036,1.521996455,-0.697365447
360.036,19440.036,1.522298039,-0.697362464
360.036,19080.036,1.522610935,-0.697359368
360.036,18720.036,1.522935792,-0.697356152
360.036,18360.036,1.523273309,-0.697352811
360.036,18000.036,1.523624241,-0.697349336
720.036,35640.036,1.52380517,-0.697346764
360.036,17640.036,1.523989403,-0.697345719
