alpha_1,alpha_2,Imag,Real
0.036,0.036,18.68544518,-6.727444837
0.036,360.036,18.68876663,-6.708262745
0.036,720.036,18.68921259,-6.708533039
0.036,1080.036,18.68935671,-6.708627557
0.036,1440.036,18.68942789,-6.708675603
0.036,1800.036,18.68947031,-6.708704676
0.036,2160.036,18.68949848,-6.70872416
0.036,2520.036,18.68951854,-6.708738126
0.036,2880.036,18.68953355,-6.708748628
0.036,3240.036,18.68954521,-6.708756812
0.036,3600.036,18.68955453,-6.708763368
0.036,3960.036,18.68956214,-6.70876874
0.036,4320.036,18.68956848,-6.70877322
0.036,4680.036,18.68957384,-6.708777014
0.036,5040.036,18.68957843,-6.708780269
0.036,5400.036,18.6895824,-6.708783091
0.036,5760.036,18.68958588,-6.708785562
0.036,6120.036,18.68958895,-6.708787744
0.036,6480.036,18.68959168,-6.708789683
0.036,6840.036,18.68959411,-6.708791419
0.036,7200.036,18.68959631,-6.708792983
0.036,7560.036,18.68959829,-6.708794397
0.036,7920.036,18.6896001,-6.708795683
0.036,8280.036,18.68960174,-6.708796858
0.036,8640.036,18.68960325,-6.708797935
0.036,9000.036,18.68960464,-6.708798927
0.036,9360.036,18.68960592,-6.708799842
0.036,9720.036,18.68960711,-6.708800689
0.036,10080.036,18.68960821,-6.708801476
0.036,10440.036,18.68960923,-6.708802209
0.036,10800.036,18.68961019,-6.708802893
0.036,11160.036,18.68961108,-6.708803533
0.036,11520.036,18.68961192,-6.708804133
0.036,11880.036,18.68961271,-6.708804697
0.036,12240.036,18.68961345,-6.708805228
0.036,12600.036,18.68961415,-6.708805728
0.036,12960.036,18.68961481,-6.708806201
0.036,13320.036,18.68961543,-6.708806648
0.036,13680.036,18.68961603,-6.708807072
0.036,14040.036,18.68961659,-6.708807474
0.036,14400.036,18.68961712,-6.708807856
0.036,14760.036,18.68961763,-6.708808219
0.036,15120.036,18.68961811,-6.708808565
0.036,15480.036,18.68961857,-6.708808895
0.036,15840.036,18.68961901,-6.70880921
0.036,16200.036,18.68961943,-6.708809511
0.036,16560.036,18.68961983,-6.708809799
0.036,16920.036,18.68962021,-6.708810075
0.036,17280.036,18.68962058,-6.708810339
0.036,17640.036,18.68962094,-6.708810592
0.036,18000.036,18.68962127,-6.708810836
0.036,18360.036,18.6896216,-6.708811069
0.036,18720.036,18.68962191,-6.708811294
0.036,19080.036,18.68962222,-6.708811511
0.036,19440.036,18.68962251,-6.708811719
0.036,19800.036,18.68962279,-6.70881192
0.036,20160.036,18.68962306,-6.708812113
0.036,20520.036,18.68962332,-6.7088123
0.036,20880.036,18.68962357,-6.70881248
0.036,21240.036,18.68962381,-6.708812655
0.036,21600.036,18.68962404,-6.708812823
0.036,21960.036,18.68962427,-6.708812986
0.036,22320.036,18.68962449,-6.708813144
0.036,22680.036,18.6896247,-6.708813297
0.036,23040.036,18.68962491,-6.708813444
0.036,23400.036,18.68962511,-6.708813588
0.036,23760.036,18.6896253,-6.708813727
0.036,24120.036,18.68962549,-6.708813862
0.036,24480.036,18.68962567,-6.708813993
0.036,24840.036,18.68962585,-6.70881412
0.036,25200.036,18.68962602,-6.708814243
0.036,25560.036,18.68962619,-6.708814363
0.036,25920.036,18.68962635,-6.70881448
0.036,26280.036,18.68962651,-6.708814594
0.036,26640.036,18.68962666,-6.708814704
0.036,27000.036,18.68962681,-6.708814812
0.036,27360.036,18.68962696,-6.708814916
0.036,27720.036,18.6896271,-6.708815018
0.036,28080.036,18.68962724,-6.708815118
0.036,28440.036,18.68962737,-6.708815214
0.036,28800.036,18.6896275,-6.708815309
0.036,29160.036,18.68962763,-6.708815401
0.036,29520.036,18.68962776,-6.708815491
0.036,29880.036,18.68962788,-6.708815578
0.036,30240.036,18.689628,-6.708815664
0.036,30600.036,18.68962811,-6.708815748
0.036,30960.036,18.68962823,-6.708815829
0.036,31320.036,18.68962834,-6.708815909
0.036,31680.036,18.68962845,-6.708815987
0.036,32040.036,18.68962855,-6.708816063
0.036,32400.036,18.68962866,-6.708816138
0.036,32760.036,18.68962876,-6.70881621
0.036,33120.036,18.68962886,-6.708816282
0.036,33480.036,18.68962895,-6.708816351
0.036,33840.036,18.68962905,-6.70881642
0.036,34200.036,18.68962914,-6.708816487
0.036,34560.036,18.68962923,-6.708816552
0.036,34920.036,18.68962932,-6.708816616
0.036,35280.036,18.68962941,-6.708816679
0.036,35640.036,18.6896295,-6.70881674
360.036,0.036,0.130801319,-1.257992632
360.036,360.036,13.52808628,-3.832218852
360.036,720.036,15.51342859,-4.762624397
360.036,1080.036,16.39333552,-5.239488465
360.036,1440.036,16.89124556,-5.528975325
360.036,1800.036,17.21167971,-5.723279736
360.036,2160.036,17.43519494,-5.862682211
360.036,2520.036,17.5999898,-5.967558036
360.036,2880.036,17.72651782,-6.049314926
360.036,3240.036,17.82672103,-6.114835579
360.036,3600.036,17.90804053,-6.168518161
360.036,3960.036,17.97535448,-6.213304292
360.036,4320.036,18.03199406,-6.251235757
360.036,4680.036,18.08031167,-6.283774069
360.036,5040.036,18.1220158,-6.311992894
360.036,5400.036,18.15837726,-6.336698687
360.036,5760.036,18.19036085,-6.358508934
360.036,6120.036,18.21871229,-6.377904436
360.036,6480.036,18.24401703,-6.39526514
360.036,6840.036,18.26674111,-6.410895264
360.036,7200.036,18.28726014,-6.425041264
360.036,7560.036,18.30588021,-6.437904925
360.036,7920.036,18.32285327,-6.44965304
360.036,8280.036,18.33838858,-6.46042468
360.036,8640.036,18.3526614,-6.470336722
360.036,9000.036,18.36581961,-6.479488108
360.036,9360.036,18.37798886,-6.487963159
360.036,9720.036,18.38927661,-6.495834175
360.036,10080.036,18.39977529,-6.503163507
360.036,10440.036,18.40956485,-6.510005211
360.036,10800.036,18.41871477,-6.516406382
360.036,11160.036,18.42728576,-6.522408239
360.036,11520.036,18.43533109,-6.528047016
360.036,11880.036,18.44289767,-6.53335469
360.036,12240.036,18.450027,-6.538359592
360.036,12600.036,18.45675592,-6.54308691
360.036,12960.036,18.46311723,-6.547559113
360.036,13320.036,18.46914027,-6.551796309
360.036,13680.036,18.4748513,-6.555816548
360.036,14040.036,18.48027397,-6.559636076
360.036,14400.036,18.48542958,-6.563269557
360.036,14760.036,18.49033738,-6.566730262
360.036,15120.036,18.49501481,-6.570030228
360.036,15480.036,18.49947773,-6.573180398
360.036,15840.036,18.50374056,-6.576190746
360.036,16200.036,18.50781647,-6.579070379
360.036,16560.036,18.51171747,-6.58182763
360.036,16920.036,18.51545461,-6.584470137
360.036,17280.036,18.51903798,-6.587004917
360.036,17640.036,18.52247688,-6.589438427
360.036,18000.036,18.52577989,-6.591776615
360.036,18360.036,18.52895489,-6.594024976
360.036,18720.036,18.53200919,-6.596188587
360.036,19080.036,18.53494955,-6.598272153
360.036,19440.036,18.53778222,-6.600280034
360.036,19800.036,18.54051301,-6.602216281
360.036,20160.036,18.54314732,-6.604084659
360.036,20520.036,18.54569018,-6.605888676
360.036,20880.036,18.54814626,-6.607631601
360.036,21240.036,18.55051994,-6.609316485
360.036,21600.036,18.55281529,-6.610946181
360.036,21960.036,18.55503613,-6.612523356
