alpha_1,alpha_2,Imag,Real
360.036,9360.036,8.16956641,-0.587229424
360.036,9720.036,8.174181421,-0.587960278
360.036,10080.036,8.178475741,-0.588641028
360.036,10440.036,8.182481677,-0.589276656
360.036,10800.036,8.186227334,-0.589871504
360.036,11160.036,8.189737283,-0.590429374
360.036,11520.036,8.193033094,-0.59095361
360.036,11880.036,8.196133785,-0.591447165
360.036,12240.036,8.199056185,-0.591912655
360.036,12600.036,8.201815242,-0.592352408
360.036,12960.036,8.20442428,-0.5927685
360.036,13320.036,8.20689521,-0.593162792
360.036,13680.036,8.209238716,-0.593536952
360.036,14040.036,8.211464407,-0.593892484
360.036,14400.036,8.213580949,-0.594230746
360.036,14760.036,8.215596181,-0.594552965
360.036,15120.036,8.217517205,-0.594860257
360.036,15480.036,8.219350477,-0.595153636
360.036,15840.036,8.221101876,-0.595434025
360.036,16200.036,8.222776766,-0.595702268
360.036,16560.036,8.224380055,-0.595959138
360.036,16920.036,8.225916236,-0.596205343
360.036,17280.036,8.227389438,-0.596441534
360.036,17640.036,8.228803456,-0.59666831
360.036,18000.036,8.230161785,-0.596886222
360.036,18360.036,8.231467652,-0.59709578
360.036,18720.036,8.232724039,-0.597297456
360.036,19080.036,8.233933706,-0.597491686
360.036,19440.036,8.235099212,-0.597678874
360.036,19800.036,8.23622293,-0.597859398
360.036,20160.036,8.23730707,-0.598033606
360.036,20520.036,8.238353686,-0.598201825
360.036,20880.036,8.239364693,-0.598364358
360.036,21240.036,8.240341877,-0.598521489
360.036,21600.036,8.241286909,-0.598673482
360.036,21960.036,8.242201349,-0.598820585
360.036,22320.036,8.243086659,-0.598963031
360.036,22680.036,8.24394421,-0.599101037
360.036,23040.036,8.244775286,-0.599234808
360.036,23400.036,8.245581096,-0.599364536
360.036,23760.036,8.246362774,-0.599490402
360.036,24120.036,8.247121388,-0.599612574
360.036,24480.036,8.247857944,-0.599731214
360.036,24840.036,8.24857339,-0.599846472
360.036,25200.036,8.249268622,-0.599958492
360.036,25560.036,8.249944483,-0.600067407
360.036,25920.036,8.250601773,-0.600173345
360.036,26280.036,8.251241246,-0.600276426
360.036,26640.036,8.251863618,-0.600376765
360.036,27000.036,8.252469564,-0.600474469
360.036,27360.036,8.253059728,-0.600569641
360.036,27720.036,8.253634717,-0.600662378
360.036,28080.036,8.254195109,-0.600752773
360.036,28440.036,8.254741454,-0.600840912
360.036,28800.036,8.255274273,-0.600926879
360.036,29160.036,8.255794062,-0.601010754
360.036,29520.036,8.256301293,-0.601092612
360.036,29880.036,8.256796416,-0.601172525
360.036,30240.036,8.25727986,-0.601250561
360.036,30600.036,8.257752032,-0.601326786
360.036,30960.036,8.258213323,-0.601401263
360.036,31320.036,8.258664104,-0.601474049
360.036,31680.036,8.259104731,-0.601545204
360.036,32040.036,8.259535542,-0.60161478
360.036,32400.036,8.259956863,-0.601682829
360.036,32760.036,8.260369003,-0.601749402
360.036,33120.036,8.260772259,-0.601814547
360.036,33480.036,8.261166916,-0.601878307
360.036,33840.036,8.261553245,-0.601940727
360.036,34200.036,8.261931507,-0.60200185
360.036,34560.036,8.262301953,-0.602061714
360.036,34920.036,8.262664822,-0.602120359
360.036,35280.036,8.263020344,-0.602177821
360.036,35640.036,8.263368741,-0.602234136
720.036,0.036,0,-0.194845372
720.036,360.036,5.556729932,-0.262368976
720.036,720.036,6.351299523,-0.341632494
720.036,1080.036,6.784992345,-0.392298092
720.036,1440.036,7.059628897,-0.426932244
720.036,1800.036,7.249502913,-0.452027686
720.036,2160.036,7.388725103,-0.47102838
720.036,2520.036,7.495224172,-0.485907427
720.036,2880.036,7.579344446,-0.49787193
720.036,3240.036,7.647479226,-0.507700566
720.036,3600.036,7.703795211,-0.51591774
720.036,3960.036,7.751125244,-0.522889375
720.036,4320.036,7.791463005,-0.528878503
720.036,4680.036,7.82625256,-0.53407902
720.036,5040.036,7.856565675,-0.538636983
720.036,5400.036,7.883214606,-0.542664496
720.036,5760.036,7.906826201,-0.546249031
720.036,6120.036,7.927891973,-0.549459838
720.036,6480.036,7.946802767,-0.552352451
720.036,6840.036,7.963873286,-0.554971924
720.036,7200.036,7.979359782,-0.557355191
720.036,7560.036,7.993473024,-0.559532817
720.036,7920.036,8.006387967,-0.561530311
720.036,8280.036,8.01825105,-0.563369132
720.036,8640.036,8.029185777,-0.565067462
720.036,9000.036,8.039297042,-0.566640806
720.036,9360.036,8.048674509,-0.56810247
720.036,9720.036,8.057395274,-0.569463936
720.036,10080.036,8.065526,-0.570735165
720.036,10440.036,8.073124619,-0.571924838
720.036,10800.036,8.080241719,-0.57304056
720.036,11160.036,8.086921671,-0.574089017
720.036,11520.036,8.093203556,-0.575076114
720.036,11880.036,8.099121931,-0.576007084
720.036,12240.036,8.104707466,-0.576886581
720.036,12600.036,8.109987472,-0.577718758
720.036,12960.036,8.114986355,-0.578507335
720.036,13320.036,8.119725986,-0.579255651
720.036,13680.036,8.124226026,-0.579966711
720.036,14040.036,8.128504194,-0.58064323
720.036,14400.036,8.132576507,-0.581287665
720.036,14760.036,8.136457475,-0.581902246
720.036,15120.036,8.140160276,-0.582489
720.036,15480.036,8.143696903,-0.583049775
720.036,15840.036,8.147078299,-0.583586259
720.036,16200.036,8.150314465,-0.584099997
720.036,16560.036,8.153414562,-0.584592404
720.036,16920.036,8.156386994,-0.585064784
720.036,17280.036,8.15923949,-0.585518332
720.036,17640.036,8.161979165,-0.585954154
720.036,18000.036,8.164612583,-0.586373268
720.036,18360.036,8.167145809,-0.586776617
720.036,18720.036,8.169584454,-0.587165075
720.036,19080.036,8.171933719,-0.58753945
720.036,19440.036,8.174198429,-0.587900495
720.036,19800.036,8.176383068,-0.58824891
720.036,20160.036,8.178491809,-0.588585345
720.036,20520.036,8.180528541,-0.588910408
720.036,20880.036,8.18249689,-0.589224667
720.036,21240.036,8.184400242,-0.589528651
720.036,21600.036,8.186241767,-0.589822855
720.036,21960.036,8.188024427,-0.590107745
720.036,22320.036,8.189751001,-0.590383755
720.036,22680.036,8.191424095,-0.590651295
720.036,23040.036,8.193046156,-0.590910748
720.036,23400.036,8.194619484,-0.591162476
720.036,23760.036,8.196146243,-0.591406819
720.036,24120.036,8.19762847,-0.591644096
720.036,24480.036,8.199068086,-0.591874611
720.036,24840.036,8.200466901,-0.592098647
720.036,25200.036,8.201826627,-0.592316475
720.036,25560.036,8.20314888,-0.592528349
720.036,25920.036,8.204435187,-0.592734509
720.036,26280.036,8.205686994,-0.592935185
720.036,26640.036,8.206905672,-0.593130591
720.036,27000.036,8.208092518,-0.593320932
720.036,27360.036,8.209248764,-0.593506404
720.036,27720.036,8.210375577,-0.59368719
720.036,28080.036,8.211474068,-0.593863466
720.036,28440.036,8.212545291,-0.594035398
720.036,28800.036,8.213590249,-0.594203146
720.036,29160.036,8.214609897,-0.594366859
720.036,29520.036,8.215605142,-0.594526683
720.036,29880.036,8.216576851,-0.594682753
720.036,30240.036,8.217525849,-0.594835201
720.036,30600.036,8.218452923,-0.594984151
720.036,30960.036,8.219358823,-0.595129723
720.036,31320.036,8.220244268,-0.595272029
720.036,31680.036,8.221109942,-0.595411179
720.036,32040.036,8.2219565,-0.595547276
720.036,32400.036,8.222784568,-0.59568042
720.036,32760.036,8.223594746,-0.595810706
720.036,33120.036,8.224387607,-0.595938225
720.036,33480.036,8.2251637,-0.596063064
720.036,33840.036,8.225923553,-0.596185306
720.036,34200.036,8.226667668,-0.596305033
720.036,34560.036,8.227396531,-0.59642232
720.036,34920.036,8.228110606,-0.596537242
720.036,35280.036,8.228810338,-0.596649869
720.036,35640.036,8.229496154,-0.59676027
1080.036,0.036,0,-0.230920903
1080.036,360.036,5.11627088,-0.213903829
1080.036,720.036,5.887537909,-0.285825592
1080.036,1080.036,6.351819983,-0.336978937
1080.036,1440.036,6.664302167,-0.374362122
1080.036,1800.036,6.889578127,-0.402755008
1080.036,2160.036,7.059903678,-0.425021464
1080.036,2520.036,7.193293056,-0.442940503
1080.036,2880.036,7.300630733,-0.457667639
1080.036,3240.036,7.388893193,-0.469983883
1080.036,3600.036,7.462763338,-0.480435375
1080.036,3960.036,7.52550369,-0.489415216
1080.036,4320.036,7.579458045,-0.497213441
1080.036,4680.036,7.626354162,-0.504048666
1080.036,5040.036,7.667493987,-0.51008876
1080.036,5400.036,7.703877394,-0.515464753
1080.036,5760.036,7.736285096,-0.520280402
1080.036,6120.036,7.765335631,-0.524618932
1080.036,6480.036,7.791525439,-0.528547875
1080.036,6840.036,7.815257593,-0.532122597
1080.036,7200.036,7.836862782,-0.535388917
1080.036,7560.036,7.856614876,-0.538385084
1080.036,7920.036,7.874742628,-0.541143274
1080.036,8280.036,7.89143861,-0.543690751
1080.036,8640.036,7.906866092,-0.546050765
1080.036,9000.036,7.921164418,-0.548243272
1080.036,9360.036,7.934453234,-0.550285491
1080.036,9720.036,7.946835851,-0.552192359
1080.036,10080.036,7.958401943,-0.553976899
1080.036,10440.036,7.969229726,-0.555650514
1080.036,10800.036,7.979387731,-0.557223233
1080.036,11160.036,7.988936261,-0.558703913
1080.036,11520.036,7.997928586,-0.560100402
1080.036,11880.036,8.006411944,-0.561419682
1080.036,12240.036,8.014428369,-0.562667982
1080.036,12600.036,8.022015388,-0.563850881
1080.036,12960.036,8.029206613,-0.564973386
