alpha_1,alpha_2,omega_n,zeta,PO,omega_d,t_p,t_r,t_s
9.00001,4.80001,11.93271597,0.399450195,25.43966158,10.93937581,0.287182076,0.181154153,0.838962878
7.50001,4.00001,11.93352813,0.399460794,25.43856213,10.94006524,0.287163978,0.181143794,0.838884579
6.00001,3.20001,11.93474625,0.399476683,25.43691406,10.94109932,0.287136837,0.181128258,0.838767179
4.50001,2.40001,11.93677617,0.399503137,25.43417031,10.94282263,0.287091618,0.18110237,0.838571648
8.80001,4.70001,11.93811894,0.399092236,25.47680995,10.94619,0.2870033,0.181005714,0.839299644
3.00001,1.60001,11.94083493,0.399555942,25.42869399,10.94626862,0.287001239,0.18105062,0.838181086
7.30001,3.90001,11.94006114,0.399029678,25.48330575,10.94829591,0.286948095,0.180964666,0.839288449
5.80001,3.10001,11.94300624,0.398934821,25.49315751,10.95148932,0.286864422,0.180902451,0.839271551
8.60001,4.60001,11.94376394,0.398718449,25.51563873,10.95330806,0.28681679,0.180850872,0.839652177
1.50001,0.80001,11.95300267,0.399713539,25.41235458,10.95660165,0.286730572,0.180895564,0.837013397
4.30001,2.30001,11.94800143,0.398773941,25.50987181,10.95690586,0.286722611,0.18079701,0.839243105
7.10001,3.80001,11.94694847,0.398575483,25.53050008,10.95697094,0.286720908,0.180776187,0.839715228
9.90001,5.30001,11.94649152,0.39848929,25.53946267,10.9569993,0.286720166,0.180767142,0.839920407
0.40001,8.30001,10.98838652,0.071820229,79.75473439,10.96001003,0.286641403,0.149879283,4.960296647
8.40001,4.50001,11.9496676,0.398327759,25.55626448,10.96075075,0.286622032,0.180689204,0.840021611
5.60001,3.00001,11.95183384,0.398356208,25.55330473,10.96259005,0.286573943,0.180661718,0.839812207
9.70001,5.20001,11.95165639,0.398146636,25.57511276,10.96351477,0.286549772,0.18062564,0.840245889
6.90001,3.70001,11.95421975,0.398096303,25.58035215,10.96612733,0.286481504,0.180577605,0.840166922
2.80001,1.50001,11.95833011,0.398441322,25.54445128,10.96810653,0.286429809,0.180579313,0.839185144
8.20001,4.40001,11.95584811,0.397918992,25.59881499,10.96854082,0.286418468,0.18052025,0.840409191
0.30001,6.20001,10.99704023,0.071826641,79.75311537,10.96863632,0.286415974,0.149761996,4.955951462
9.50001,5.10001,11.95703027,0.397790302,25.61222045,10.97029264,0.28637273,0.180478637,0.840585168
4.10001,2.20001,11.96027908,0.397977289,25.59274378,10.97230343,0.286320249,0.180464137,0.839980573
5.40001,2.90001,11.96128963,0.397736976,25.6177768,10.97447703,0.286263541,0.180404527,0.840393206
6.70001,3.60001,11.96190801,0.397590018,25.63309296,10.97580628,0.286228872,0.180368086,0.840645775
8.00001,4.30001,11.96232543,0.397490864,25.64343031,10.97670316,0.286205485,0.180343504,0.840816287
9.30001,5.00001,11.96262614,0.397419453,25.65087708,10.97734911,0.286188644,0.180325803,0.840939142
9.10001,4.90001,11.96845801,0.397033181,25.69118169,10.98470171,0.285997084,0.180166784,0.841308786
7.80001,4.20001,11.96912144,0.397041966,25.69026452,10.98526512,0.285982415,0.180158415,0.841244409
0.20001,4.10001,11.01451271,0.071839896,79.74976849,10.98605315,0.285961902,0.149525779,4.947178014
6.50001,3.50001,11.97005018,0.39705426,25.68898115,10.98605385,0.285961884,0.1801467,0.841154313
0.40001,8.20001,11.01541574,0.071830967,79.75202299,10.98696093,0.285938275,0.14951261,4.947386535
5.20001,2.80001,11.97144314,0.397072687,25.68705761,10.98723687,0.285931094,0.180129131,0.841019235
3.90001,2.10001,11.97376436,0.397103362,25.68385568,10.98920834,0.285879797,0.180099857,0.840794283
8.90001,4.80001,11.97454115,0.396630504,25.73324194,10.99236948,0.285797585,0.180001199,0.841695162
2.60001,1.40001,11.97840543,0.397164576,25.67746692,10.9931505,0.28577728,0.180041341,0.840345043
7.60001,4.10001,11.97626028,0.396570748,25.73948736,10.99425678,0.285748525,0.179964379,0.84169523
6.30001,3.40001,11.97868765,0.396486378,25.74830708,10.99692166,0.285679279,0.179912411,0.841695382
8.70001,4.70001,11.98089215,0.396210354,25.77717511,11.00037313,0.285589645,0.179828631,0.842099433
5.00001,2.70001,11.98237455,0.396358238,25.761706,11.00096937,0.285574166,0.179833526,0.841695738
7.40001,4.00001,11.98376853,0.396075503,25.79128635,11.00371132,0.285503006,0.17976073,0.842170601
0.30001,6.10001,11.03342825,0.071841668,79.74932096,11.00491841,0.28547169,0.149269615,4.938574962
1.30001,0.70001,11.99231745,0.397347128,25.65842045,11.00497055,0.285470337,0.17986604,0.839002618
9.80001,5.30001,11.98447962,0.395931364,25.80637491,11.00510923,0.28546674,0.179723632,0.842412937
3.70001,2.00001,11.98864469,0.39614034,25.78450092,11.00785337,0.285395576,0.179699504,0.841696692
6.10001,3.30001,11.98786705,0.395883392,25.81139802,11.00846778,0.285379647,0.179664055,0.842272204
8.50001,4.60001,11.98752911,0.395771569,25.82310921,11.00873524,0.285372714,0.179648629,0.84252287
9.60001,5.20001,11.99042485,0.395537633,25.8476205,11.01260295,0.285272489,0.179562405,0.842794439
7.20001,3.90001,11.99167564,0.395554343,25.8458692,11.01366544,0.285244969,0.179546735,0.842672584
0.40001,8.10001,11.04298329,0.071842642,79.74907517,11.01444799,0.285224703,0.149140557,4.934235044
4.80001,2.60001,11.9941768,0.395587722,25.842371,11.01579018,0.28518995,0.179515403,0.84242907
8.30001,4.50001,11.99447177,0.395312879,25.87118403,11.01748042,0.285146198,0.179460703,0.84296687
9.40001,5.10001,11.9966118,0.395128139,25.890563,11.02039968,0.285070664,0.179394915,0.843192297
5.90001,3.20001,11.99764103,0.395241941,25.87862421,11.02075778,0.285061401,0.179400327,0.842888441
2.40001,1.30001,12.00167703,0.39568754,25.8319118,11.02216253,0.285025071,0.179421479,0.841700086
7.00001,3.80001,12.00001426,0.39500518,25.90346652,11.02415981,0.284973432,0.179321585,0.843203476
8.10001,4.40001,12.00174175,0.394832899,25.92155287,11.02663563,0.284909446,0.179264316,0.843432965
9.20001,5.00001,12.00305549,0.394701916,25.93530926,11.02851815,0.284860814,0.17922079,0.843607586
3.50001,1.90001,12.00514829,0.395073861,25.89625845,11.02852178,0.28486072,0.17925744,0.842703131
4.60001,2.50001,12.00695827,0.394754267,25.92981057,11.03183401,0.284775192,0.179172086,0.843226702
5.70001,3.10001,12.00806928,0.394558224,25.95040594,11.03386593,0.28472275,0.179119754,0.843548276
6.80001,3.70001,12.00882068,0.394425692,25.96433516,11.03523964,0.284687307,0.179084386,0.843765846
7.90001,4.30001,12.00936276,0.394330111,25.9743839,11.03623039,0.28466175,0.179058885,0.843922845
9.00001,4.90001,12.00977228,0.394257918,25.98197546,11.03697873,0.284642449,0.179039626,0.844041477
0.10001,2.00001,11.068288,0.071883319,79.73880505,11.03965487,0.284573448,0.148803719,4.9201721
0.20001,4.00001,11.07016522,0.071864674,79.7435124,11.04154211,0.284524808,0.148776592,4.920612394
0.30001,6.00001,11.07079159,0.071858436,79.74508726,11.04217183,0.284508582,0.148767541,4.920760535
0.40001,8.00001,11.07110488,0.071855313,79.74587575,11.0424868,0.284500467,0.148763014,4.920834863
9.90001,5.40001,12.01632798,0.393788907,26.03133014,11.04541951,0.284424928,0.178856607,0.844539487
8.80001,4.80001,12.01677988,0.393795007,26.03068783,11.04580349,0.284415041,0.17885099,0.844495247
7.70001,4.20001,12.01736085,0.393802847,26.02986225,11.04629715,0.284402331,0.17884377,0.84443838
6.60001,3.60001,12.01813543,0.393813297,26.02876198,11.04695534,0.284385386,0.178834143,0.844362578
5.50001,3.00001,12.01921978,0.393827918,26.02722262,11.04787677,0.284361667,0.178820667,0.844256498
4.40001,2.40001,12.02084609,0.39384983,26.02491566,11.04925879,0.284326099,0.178800458,0.844097471
3.30001,1.80001,12.0235561,0.393886299,26.02107637,11.05156187,0.284266848,0.178766787,0.843832672
9.70001,5.30001,12.02280809,0.393360426,26.0764733,11.05358155,0.284214907,0.178682371,0.844961544
8.60001,4.70001,12.02409758,0.393311949,26.08158395,11.05501646,0.284178017,0.178654409,0.844970294
2.20001,1.20001,12.02897422,0.393959047,26.01341891,11.05616694,0.284148446,0.178699487,0.843303997
7.50001,4.10001,12.02576471,0.393249277,26.08819199,11.05687161,0.284130337,0.178618269,0.844981634
6.40001,3.50001,12.02800381,0.393165107,26.09706841,11.05936327,0.284066323,0.178569749,0.844996917
9.50001,5.20001,12.02954758,0.392915084,26.12344732,11.06206831,0.283996859,0.178501503,0.845401517
5.30001,2.90001,12.03117021,0.39304609,26.10962322,11.06288685,0.283975846,0.178501173,0.84501863
8.40001,4.60001,12.03174646,0.392807398,26.13481413,11.06464386,0.283930752,0.178449369,0.845468148
0.50001,9.90001,11.09420304,0.0718643,79.74360672,11.06551807,0.283908321,0.1484542,4.909976392
7.30001,4.00001,12.03460602,0.392667379,26.14959881,11.06799319,0.283844831,0.178381612,0.845554905
4.20001,2.30001,12.03599037,0.392864934,26.12874054,11.06825083,0.283838224,0.178396868,0.84505191
1.10001,0.60001,12.04521338,0.394175774,25.99061516,11.06997352,0.283794053,0.178497913,0.841725321
9.30001,5.10001,12.03656234,0.392451862,26.17236599,11.07089959,0.283770314,0.178313616,0.845860569
0.40001,7.90001,11.09979677,0.071869047,79.74240839,11.07109355,0.283765343,0.148379867,4.907178339
6.20001,3.40001,12.03847668,0.392477889,26.16961575,11.07252665,0.283728615,0.178289969,0.845672532
8.20001,4.50001,12.03974949,0.392279888,26.19054261,11.07471427,0.28367257,0.178235313,0.845990491
3.10001,1.70001,12.0442178,0.39255578,26.16138643,11.07740674,0.28360362,0.178219069,0.845109351
5.10001,2.80001,12.04400988,0.392207087,26.19823968,11.07900706,0.283562655,0.178159109,0.845841065
7.10001,3.90001,12.04391985,0.392054921,26.21433276,11.07970546,0.283544781,0.178132949,0.84616075
9.10001,5.00001,12.04386959,0.391969662,26.22335253,11.08009678,0.283534767,0.178118294,0.846339968
0.30001,5.90001,11.10916854,0.071877097,79.7403759,11.08043464,0.283526121,0.148255507,4.902490184
8.00001,4.40001,12.04813187,0.391727812,26.2489496,11.08525902,0.283402729,0.178011633,0.846539174
6.00001,3.30001,12.04961133,0.391748006,26.24681165,11.08651664,0.28337058,0.17799342,0.846393582
0.50001,9.80001,11.11748683,0.071875876,79.74068418,11.08873239,0.283313957,0.148144457,4.898905174
4.00001,2.20001,12.05256969,0.391788337,26.24254223,11.08903157,0.283306313,0.177957005,0.846102678
8.90001,4.90001,12.05148801,0.391467292,26.27654099,11.08968313,0.283289668,0.177915086,0.846841097
6.90001,3.80001,12.0537451,0.391409429,26.2826718,11.09205678,0.283229045,0.177871344,0.846802022
9.80001,5.40001,12.05422507,0.391254907,26.29904863,11.09329054,0.283197546,0.177836425,0.847087587
7.80001,4.30001,12.05692121,0.391149415,26.3102329,11.09631241,0.283120422,0.177777665,0.847116239
4.90001,2.70001,12.05784184,0.391304396,26.2938029,11.09636527,0.283119073,0.177791994,0.846731248
2.00001,1.10001,12.06144023,0.391908868,26.22978535,11.09657378,0.283113753,0.177847856,0.845232192
0.20001,3.90001,11.12809746,0.071893735,79.73617552,11.09930125,0.283044183,0.148005005,4.893019923
8.70001,4.80001,12.05943789,0.390943461,26.33207711,11.09968385,0.283034427,0.177703506,0.847365466
0.40001,7.80001,11.12907585,0.071883911,79.73865559,11.10028499,0.283019099,0.147991001,4.893257503
5.80001,3.20001,12.06147254,0.390971356,26.32911776,11.10141365,0.282990325,0.177678547,0.847164807
9.60001,5.30001,12.06148121,0.390776295,26.34981604,11.10242074,0.282964655,0.177643342,0.847567976
6.70001,3.70001,12.0641251,0.390728156,26.35492578,11.10510093,0.282896362,0.177595759,0.847481919
2.90001,1.60001,12.0675743,0.391054822,26.32026425,11.10660182,0.282858133,0.177603714,0.84656389
7.60001,4.20001,12.06614788,0.390542765,26.37461042,11.10791217,0.282824765,0.177532681,0.847723945
8.50001,4.70001,12.06774137,0.39039676,26.39011988,11.11012643,0.282768398,0.177483024,0.847914728
3.80001,2.10001,12.07079814,0.390606599,26.36783149,11.11186621,0.282724125,0.177475749,0.847265116
9.40001,5.20001,12.06902912,0.390278795,26.40265511,11.1119156,0.282722869,0.177442916,0.848068986
0.50001,9.70001,11.14115316,0.071888203,79.73757213,11.11232761,0.282712386,0.147831008,4.887661663
4.70001,2.60001,12.07278574,0.390330472,26.39716323,11.11510983,0.28264162,0.177396973,0.847697901
5.60001,3.10001,12.07413378,0.390143291,26.41705892,11.11730884,0.282585714,0.177343597,0.847991627
6.50001,3.60001,12.07510817,0.39000804,26.43144103,11.11889788,0.282545328,0.177305042,0.848204038
0.30001,5.80001,11.14859939,0.071897818,79.73514488,11.11974685,0.282523757,0.14773324,4.883744851
7.40001,4.10001,12.07584536,0.38990574,26.44232257,11.12009984,0.282514788,0.177275886,0.848364796
8.30001,4.60001,12.07642255,0.389825658,26.45084289,11.12104079,0.282490885,0.177253067,0.848490699
9.20001,5.10001,12.07688675,0.389761265,26.45769535,11.12179743,0.282471666,0.177234721,0.848591974
0.40001,7.70001,11.15895962,0.071899981,79.73459862,11.13007853,0.282261499,0.147596299,4.879064028
9.90001,5.50001,12.08471824,0.389217548,26.51560175,11.13178821,0.282218148,0.177022622,0.849173639
9.00001,5.00001,12.08507355,0.38922247,26.5150772,11.13209037,0.282210488,0.177018297,0.849138415
8.10001,4.50001,12.08550781,0.389228484,26.51443626,11.13245967,0.282201126,0.177013011,0.849095371
7.20001,4.00001,12.0860506,0.389235999,26.51363535,11.13292128,0.282189425,0.177006404,0.849041577
6.30001,3.50001,12.08674845,0.389245658,26.51260606,11.13351476,0.282174383,0.176997911,0.848972432
5.40001,3.00001,12.08767883,0.389258529,26.51123438,11.13430602,0.28215433,0.176986587,0.848880272
4.50001,2.50001,12.08898125,0.389276535,26.50931557,11.13541373,0.282126262,0.176970737,0.848751311
0.50001,9.60001,11.16521117,0.07190132,79.73426069,11.13631282,0.282103485,0.147513793,4.876241512
3.60001,2.00001,12.09093461,0.389303517,26.50644049,11.13707513,0.282084175,0.176946967,0.848558005
2.70001,1.50001,12.09418946,0.38934841,26.50165719,11.13984371,0.282014069,0.176907365,0.848236196
9.70001,5.40001,12.09245757,0.388708052,26.56993923,11.14151852,0.281971676,0.176818383,0.849692816
8.80001,4.90001,12.09361066,0.388661072,26.57495335,11.14282062,0.281938726,0.176793145,0.849709922
7.90001,4.40001,12.09502601,0.388603409,26.5811084,11.14441886,0.281898293,0.176762175,0.849730943
1.80001,1.00001,12.10069642,0.389437914,26.49212252,11.14537934,0.281874,0.176828219,0.847593943
7.00001,3.90001,12.09680456,0.388530954,26.58884383,11.14642724,0.2818475,0.176723271,0.849757394
6.10001,3.40001,12.0991067,0.388437175,26.59885796,11.14902688,0.281781781,0.176672936,0.849791692
9.50001,5.30001,12.10050332,0.388178784,26.62646293,11.15163132,0.281715972,0.17660653,0.850234055
5.20001,2.90001,12.10220355,0.388311036,26.61233159,11.15252393,0.281693424,0.176605263,0.849837938
8.60001,4.80001,12.10252105,0.388075616,26.63749007,11.15401666,0.281655725,0.176558726,0.85030826
7.70001,4.30001,12.10500887,0.38794843,26.6510885,11.15695766,0.28158148,0.176499816,0.850399843
0.10001,1.90001,11.18641056,0.071948213,79.72242362,11.15741951,0.281569825,0.147238952,4.86383267
4.30001,2.40001,12.10659245,0.388132294,26.63143171,11.15748002,0.281568297,0.176509433,0.84990369
0.20001,3.80001,11.18844694,0.071927658,79.72761191,11.1594672,0.281518158,0.147210088,4.864335212
0.30001,5.70001,11.18912643,0.071920781,79.72934802,11.16015048,0.281500922,0.147200457,4.864504328
0.40001,7.60001,11.1894663,0.071917337,79.73021735,11.16049225,0.281492302,0.14719564,4.864589193
6.80001,3.80001,12.10815271,0.387787734,26.66827628,11.16067407,0.281487716,0.176425422,0.850515721
0.50001,9.50001,11.18967027,0.071915269,79.73073933,11.16069736,0.281487129,0.147192749,4.864640203
0.90001,0.50001,12.12019542,0.389704167,26.46377246,11.16197395,0.281454935,0.176591226,0.845678062
9.30001,5.20001,12.10887406,0.387628569,26.68530748,11.16214961,0.281450506,0.17638663,0.850798792
3.40001,1.90001,12.11329514,0.387859375,26.66061281,11.16504896,0.281377418,0.176363253,0.850004585
5.90001,3.30001,12.11225149,0.387578276,26.69069058,11.16551912,0.28136557,0.176328515,0.850667037
8.40001,4.70001,12.11182973,0.387464521,26.70286876,11.1657095,0.281360773,0.176314457,0.85093536
7.50001,4.20001,12.11549124,0.387261346,26.72462904,11.17011925,0.281249697,0.176225122,0.851104761
5.00001,2.80001,12.11781819,0.38729389,26.72114281,11.17209898,0.281199859,0.176197053,0.850872983
9.10001,5.10001,12.11758988,0.387056139,26.74661886,11.17309828,0.281174709,0.176158216,0.851388589
6.60001,3.70001,12.12014569,0.387003152,26.75229882,11.17572444,0.281108636,0.176111679,0.851320456
8.20001,4.60001,12.12156403,0.386826064,26.77128767,11.17793296,0.281053095,0.176059702,0.851593345
2.50001,1.40001,12.12479625,0.387391226,26.71071737,11.1780366,0.281050489,0.176112905,0.850179064
9.80001,5.50001,12.12251888,0.386706882,26.78407237,11.17941943,0.281015725,0.176024732,0.851777144
4.10001,2.30001,12.12581341,0.386885612,26.76490141,11.18154861,0.280962214,0.176008547,0.851169658
5.70001,3.20001,12.12626034,0.38666409,26.78866365,11.18308739,0.280923554,0.175962848,0.851604422
7.30001,4.10001,12.12651157,0.386539736,26.80200885,11.18395122,0.280901856,0.175937201,0.851848683
8.90001,5.00001,12.12667256,0.386460118,26.8105555,11.1845043,0.280887965,0.175920782,0.85200515
0.50001,9.40001,11.21454016,0.071930095,79.72699693,11.18549087,0.280863191,0.146867814,4.852853057
9.60001,5.40001,12.1310296,0.386148164,26.84405974,11.19010776,0.28074731,0.175802466,0.852356955
8.00001,4.50001,12.1317538,0.386158363,26.84296394,11.190724,0.28073185,0.175793773,0.852284551
0.40001,7.50001,11.22061475,0.071936064,79.72549016,11.19154489,0.280711259,0.146788901,4.849823897
6.40001,3.60001,12.13284003,0.386173653,26.84132123,11.19164831,0.280708665,0.175780735,0.852175989
4.80001,2.70001,12.13465019,0.386199111,26.83858614,11.19318871,0.280670034,0.17575901,0.851995166
3.20001,1.80001,12.13826965,0.386249938,26.8331261,11.19626903,0.280592816,0.175715577,0.851633952
8.70001,4.90001,12.13614576,0.385839017,26.87728977,11.19639695,0.28058961,0.175673784,0.852650336
7.10001,4.00001,12.13811236,0.385780929,26.88353669,11.19850613,0.280536762,0.175635074,0.852634934
9.40001,5.30001,12.13987878,0.385567704,26.9064754,11.20121785,0.280468847,0.175571922,0.852961683
0.30001,5.60001,11.23079412,0.071946188,79.72293464,11.20168969,0.280457033,0.146656868,4.844747178
5.50001,3.10001,12.14122132,0.385689096,26.89341451,11.20184058,0.280453255,0.175573907,0.852610677
7.80001,4.40001,12.14243178,0.385459362,26.91813587,11.20412309,0.280396121,0.175515916,0.853011558
1.60001,0.90001,12.14912123,0.386401704,26.81682713,11.20550619,0.280361512,0.175585411,0.850553758
3.90001,2.20001,12.14687533,0.385522079,26.9113855,11.207905,0.280301506,0.175462756,0.852566856
6.20001,3.50001,12.14629912,0.385295262,26.93580358,11.20852402,0.280286026,0.175431135,0.853087279
8.50001,4.80001,12.1460352,0.385191218,26.94700934,11.20880803,0.280278924,0.175416631,0.853326187
0.50001,9.30001,11.23983086,0.071945843,79.72302169,11.21070329,0.280231541,0.146538923,4.84087521
9.20001,5.20001,12.14908703,0.384964206,26.9714698,11.21277516,0.28017976,0.175332631,0.853592964
6.90001,3.90001,12.15034071,0.384981969,26.96955535,11.21384219,0.2801531,0.175317664,0.853467227
4.60001,2.60001,12.15284763,0.385017451,26.96573135,11.21597601,0.280099801,0.175287737,0.853215961
9.90001,5.60001,12.15170493,0.384769536,26.99245714,11.21617771,0.280094764,0.175260637,0.853822034
7.60001,4.30001,12.15363389,0.384726803,26.99706566,11.21817466,0.280044905,0.175225312,0.853777216
8.30001,4.70001,12.15636894,0.384514959,27.01991924,11.22177223,0.279955126,0.175148685,0.854034938
5.30001,3.00001,12.15723489,0.384647014,27.00567177,11.22190275,0.279951869,0.175159396,0.853693671
0.20001,3.70001,11.25136184,0.071967111,79.71765356,11.22218712,0.279944775,0.146390867,4.834486819
2.30001,1.30001,12.16036516,0.385123552,26.95429882,11.22237567,0.279940072,0.175198022,0.852463832
0.40001,7.40001,11.25242458,0.071956254,79.72039385,11.22325592,0.279918116,0.146375957,4.834758615
9.00001,5.10001,12.15867665,0.38433627,27.0392062,11.22480726,0.27987943,0.175084083,0.854252586
6.00001,3.40001,12.16059418,0.384363522,27.03626408,11.22643953,0.279838737,0.175061257,0.854059954
9.70001,5.50001,12.16064993,0.384183515,27.05570106,11.22740214,0.279814744,0.175028881,0.854438832
6.70001,3.80001,12.16324891,0.384139581,27.06044641,11.23002401,0.279749416,0.17498378,0.854349724
3.00001,1.70001,12.16634483,0.384445077,27.02746093,11.23133527,0.279716755,0.174992813,0.853483039
7.40001,4.20001,12.1653997,0.383958209,27.08004231,11.23292755,0.279677105,0.174921062,0.854584687
8.10001,4.60001,12.16717758,0.383808322,27.09624352,11.23532734,0.279617367,0.174869252,0.85477905
0.50001,9.20001,11.26555268,0.071962564,79.71880112,11.23634486,0.279592046,0.14620601,4.828701629
3.70001,2.10001,12.17005597,0.38402444,27.07288545,11.23689171,0.27957844,0.174865736,0.854116776
8.80001,5.00001,12.16867183,0.383682377,27.10986189,11.23734403,0.279567186,0.174825732,0.854942498
9.50001,5.40001,12.1699453,0.383575061,27.12146945,11.23906257,0.279524438,0.174788661,0.855081865
4.40001,2.50001,12.17258365,0.383738132,27.10383266,11.24067446,0.279484355,0.174779306,0.854548945
5.10001,2.90001,12.17441615,0.383530665,27.1262724,11.24341592,0.279416209,0.174716708,0.854862519
0.30001,5.50001,11.27364925,0.071974261,79.71584889,11.24441092,0.279391484,0.146102173,4.824450606
5.80001,3.30001,12.17580557,0.383373416,27.14328882,11.24549403,0.279364574,0.174669281,0.855100424
6.50001,3.70001,12.17689528,0.38325012,27.15663603,11.24712356,0.279324099,0.174632105,0.855287102
7.20001,4.10001,12.17777281,0.383150852,27.16738529,11.24843561,0.279291518,0.174602181,0.855437489
7.90001,4.50001,12.17849464,0.383069211,27.17622787,11.24951473,0.279264726,0.174577576,0.855561232
8.60001,4.90001,12.17909883,0.383000885,27.18362974,11.25041789,0.279242308,0.174556986,0.855664833
9.30001,5.30001,12.17961198,0.382942863,27.18991649,11.25118489,0.279223272,0.174539504,0.855752842
0.40001,7.30001,11.28491616,0.071978007,79.71490347,11.25564556,0.279112614,0.145956678,4.819383367
0.50001,9.10001,11.29171624,0.071980311,79.71432204,11.26242613,0.278944574,0.145869009,4.8163271
9.80001,5.60001,12.18940391,0.382281636,27.26162866,11.26356822,0.278916289,0.174284073,0.856480793
9.10001,5.20001,12.18967269,0.382285499,27.26120926,11.2637971,0.278910622,0.174280903,0.856453623
8.40001,4.80001,12.18998627,0.382290006,27.26072008,11.26406413,0.27890401,0.174277204,0.856421929
7.70001,4.40001,12.19035684,0.382295331,27.26014209,11.2643797,0.278896196,0.174272833,0.856384477
7.00001,4.00001,12.19080152,0.382301719,27.25944871,11.26475838,0.278886821,0.174267589,0.856339544
6.30001,3.60001,12.19134498,0.382309524,27.25860151,11.26522119,0.278875363,0.174261179,0.856284637
5.60001,3.20001,12.19202428,0.382319277,27.25754296,11.26579969,0.278861043,0.174253168,0.856216023
4.90001,2.80001,12.19289761,0.38233181,27.25618271,11.26654344,0.278842634,0.174242868,0.856127835
4.20001,2.40001,12.19406193,0.38234851,27.25437027,11.26753504,0.278818095,0.174229138,0.856010304
3.50001,2.00001,12.19569179,0.382371868,27.25183536,11.26892319,0.278783749,0.174209919,0.855845864
2.80001,1.60001,12.19813615,0.382406858,27.24803829,11.27100516,0.278732252,0.174181099,0.855599428
2.10001,1.20001,12.20220894,0.382465051,27.24172411,11.27447449,0.278646482,0.174133087,0.855189297
9.60001,5.50001,12.19911536,0.381647271,27.33054517,11.27574046,0.278615197,0.174035057,0.85716052
8.90001,5.10001,12.20015202,0.381601437,27.33552906,11.27692952,0.27858582,0.174012309,0.857186236
8.20001,4.70001,12.20136529,0.381547796,27.34136254,11.27832116,0.278551445,0.173985692,0.857216351
7.50001,4.30001,12.20280452,0.381484168,27.34828312,11.27997197,0.278510679,0.173954128,0.857252104
1.40001,0.80001,12.21035021,0.382580974,27.229149,11.28141077,0.278475159,0.174037144,0.854371267
6.80001,3.90001,12.20453929,0.38140748,27.35662581,11.28196176,0.278461558,0.173916094,0.857295238
6.10001,3.50001,12.20667107,0.381313249,27.36687928,11.28440692,0.27840122,0.173869376,0.857348304
0.10001,1.80001,11.31478718,0.072035627,79.70036189,11.28539204,0.278376918,0.145577078,4.802820538
5.40001,3.10001,12.20935376,0.381194679,27.37978478,11.28748394,0.278325327,0.173810615,0.857415179
0.20001,3.60001,11.31700195,0.072012863,79.70610655,11.28761966,0.27832198,0.145546327,4.80339652
0.30001,5.40001,11.31774099,0.072005244,79.7080293,11.288363,0.278303652,0.145536066,4.803590399
9.40001,5.40001,12.20920885,0.380988557,27.40222925,11.2883873,0.278303053,0.173776956,0.857869483
0.40001,7.20001,11.31811065,0.072001429,79.70899214,11.28873482,0.278294486,0.145530933,4.803687691
0.50001,9.00001,11.3183325,0.071999138,79.70957034,11.28895797,0.278288985,0.145527853,4.803746182
8.70001,5.00001,12.21107663,0.380889013,27.41307289,11.29061502,0.278248142,0.173733133,0.857952895
4.70001,2.70001,12.21283259,0.38104094,27.39652413,11.2914741,0.278226972,0.173734468,0.857502057
8.00001,4.60001,12.21326996,0.380772134,27.42580852,11.29323095,0.27818369,0.173681697,0.858050927
7.30001,4.20001,12.21588209,0.380632959,27.44097863,11.29634626,0.278106972,0.173620476,0.858167793
4.00001,2.30001,12.21752372,0.380833662,27.41910368,11.29685469,0.278094455,0.173631875,0.857619491
9.90001,5.70001,12.21732881,0.380439536,27.46207128,11.29865649,0.278050108,0.173566464,0.858483916
6.60001,3.80001,12.21904562,0.380464438,27.45935505,11.30011903,0.27801412,0.173546382,0.858309495
9.20001,5.30001,12.21970734,0.380304061,27.47685103,11.30153704,0.277979238,0.173509263,0.858609606
0.70001,0.40001,12.2347398,0.382925039,27.19184787,11.30220082,0.277962912,0.17374996,0.851934899
3.30001,1.90001,12.22419455,0.380538979,27.45122571,11.30450582,0.277906235,0.173486167,0.857787041
5.90001,3.40001,12.22295575,0.380256194,27.48207438,11.30478193,0.277899448,0.173454881,0.858484894
8.50001,4.90001,12.2224755,0.380146424,27.49405522,11.30488928,0.277896809,0.173442736,0.858756029
7.80001,4.50001,12.22573755,0.379960703,27.51433364,11.30883938,0.277799741,0.173364399,0.858928776
5.20001,3.00001,12.22791212,0.379992304,27.51088251,11.31069213,0.277754236,0.173339021,0.858707629
9.70001,5.60001,12.2274283,0.379781186,27.53394414,11.31130472,0.277739194,0.173309457,0.859198793
7.10001,4.10001,12.22963861,0.37973866,27.5385911,11.31356293,0.277683756,0.173270801,0.859135646
9.00001,5.20001,12.23063573,0.379592238,27.55459497,11.31522031,0.277643083,0.173231433,0.859382985
0.50001,8.90001,11.34541276,0.072019106,79.70453114,11.31595159,0.277625141,0.145182473,4.790953248
2.60001,1.50001,12.23443339,0.380086837,27.50056027,11.31624904,0.277617843,0.173262933,0.858045487
4.50001,2.60001,12.23439954,0.379647026,27.54860591,11.31842736,0.277564414,0.173187581,0.858999853
6.40001,3.70001,12.23438684,0.379468482,27.56812626,11.31931177,0.277542727,0.173157,0.85938786
8.30001,4.80001,12.2343802,0.379371712,27.57871,11.31979114,0.277530973,0.173140428,0.859598298
0.40001,7.10001,11.35203005,0.072026635,79.702631,11.32254552,0.27746346,0.14509859,4.787660641
