alpha_1,alpha_2,omega_n,zeta,PO,omega_d,t_p,t_r,t_s
7.50001,0.90001,6.674776024,0.950537893,0.006678465,2.07324296,1.515303664,1.362965872,0.800873589
5.00001,0.60001,6.681829475,0.949970719,0.007084112,2.086995748,1.505318186,1.353111747,0.799630622
8.30001,1.00001,6.685292918,0.948589923,0.00814506,2.115947043,1.484721777,1.332522457,0.798288973
2.50001,0.30001,6.702945094,0.948282132,0.00839617,2.127707335,1.476515403,1.32470094,0.795987988
5.80001,0.70001,6.695880716,0.947270063,0.009260759,2.145603295,1.464200144,1.312172951,0.79619236
9.10001,1.10001,6.693941578,0.94699211,0.009508862,2.150474385,1.46088355,1.30879787,0.796253344
9.90001,1.20001,6.701179225,0.945657821,0.010765834,2.178978723,1.441772983,1.289782242,0.794608224
6.60001,0.80001,6.706494925,0.945236719,0.011185758,2.188903227,1.435235973,1.283343826,0.793740346
3.30001,0.40001,6.722416681,0.943980646,0.012506806,2.218403006,1.416150557,1.264553016,0.79117817
7.40001,0.90001,6.714795788,0.943650543,0.012871389,2.222218546,1.413719033,1.261932286,0.791902972
8.20001,1.00001,6.721465287,0.942378636,0.01434597,2.24865419,1.397099059,1.245396864,0.790474681
9.00001,1.10001,6.726941317,0.941336015,0.015639698,2.270145922,1.383872562,1.2322397,0.78933245
4.10001,0.50001,6.734243902,0.941378822,0.01558504,2.271806065,1.382861285,1.231395074,0.788496481
9.80001,1.20001,6.731517921,0.940465806,0.016779977,2.287964297,1.373095139,1.221520159,0.788398121
4.90001,0.60001,6.742189799,0.939635454,0.017920699,2.307023407,1.36175153,1.21037337,0.7867864
5.70001,0.70001,6.74789567,0.938385839,0.019737003,2.332001049,1.347166055,1.195851035,0.785600926
6.50001,0.80001,6.752191726,0.937446237,0.021183672,2.350641047,1.336483364,1.185215833,0.78473079
7.30001,0.90001,6.755543023,0.936714013,0.022360448,2.365085209,1.328321128,1.177090614,0.784064957
8.10001,1.00001,6.758230339,0.936127334,0.023335124,2.376607534,1.32188113,1.17068028,0.783539042
8.90001,1.10001,6.760433216,0.935646729,0.024154972,2.386013464,1.316670128,1.165493582,0.783113139
9.70001,1.20001,6.762271816,0.935245814,0.024853791,2.393837226,1.312366864,1.161210594,0.7827612
9.60001,1.20001,6.79345045,0.929997398,0.035312062,2.497042103,1.258125624,1.107391056,0.777613119
8.80001,1.10001,6.794429606,0.929923671,0.035477021,2.498669075,1.257306414,1.10658974,0.777482419
8.00001,1.00001,6.795604407,0.929835249,0.035675541,2.500619997,1.256325494,1.105630284,0.777325776
7.20001,0.90001,6.797039998,0.929727254,0.035919019,2.50300232,1.255129741,1.104460751,0.777134612
6.40001,0.80001,6.798834058,0.929592378,0.036224671,2.505976928,1.253639895,1.103003661,0.776896103
5.60001,0.70001,6.801140008,0.929419155,0.03661978,2.509796063,1.251732242,1.10113809,0.776590173
4.80001,0.60001,6.804213387,0.929188526,0.037150314,2.514878907,1.249202355,1.098664257,0.776183524
4.00001,0.50001,6.808513777,0.928866282,0.03790021,2.521977078,1.245686442,1.095226712,0.775616612
3.20001,0.40001,6.814959256,0.928384308,0.039040681,2.532585729,1.240468434,1.090126021,0.774771425
2.40001,0.30001,6.825688152,0.927584704,0.040983097,2.550165309,1.231917257,1.081769752,0.773376339
1.60001,0.20001,6.847095401,0.925999181,0.045023691,2.58495324,1.215338291,1.065578287,0.770635366
9.50001,1.20001,6.82506367,0.924720099,0.04847033,2.597945389,1.209260467,1.058950641,0.772887395
8.70001,1.10001,6.828943258,0.924166246,0.050015541,2.608591511,1.204325261,1.054072076,0.77235329
7.90001,1.00001,6.83360446,0.923501591,0.051912558,2.621333718,1.198471081,1.048285885,0.771717948
7.10001,0.90001,6.839309941,0.922689186,0.05429517,2.636859265,1.19141461,1.041312545,0.770949547
