alpha_1,alpha_2,Imag,Real
360.036,5040.036,8.485997551,-0.599517961
360.036,5400.036,8.474087075,-0.600030105
360.036,5760.036,8.463592515,-0.600483078
360.036,6120.036,8.45427584,-0.600886515
360.036,6480.036,8.445949485,-0.60124808
360.036,6840.036,8.438463661,-0.601573941
360.036,7200.036,8.431697311,-0.601869118
360.036,7560.036,8.425551542,-0.602137735
360.036,7920.036,8.419944778,-0.602383211
360.036,8280.036,8.414809131,-0.602608405
360.036,8640.036,8.410087649,-0.602815724
360.036,9000.036,8.405732198,-0.603007211
360.036,9360.036,8.401701822,-0.603184608
360.036,9720.036,8.397961451,-0.603349413
360.036,10080.036,8.394480884,-0.603502917
360.036,10440.036,8.391233972,-0.603646243
360.036,10800.036,8.388197957,-0.603780369
360.036,11160.036,8.385352945,-0.603906152
360.036,11520.036,8.382681467,-0.604024346
360.036,11880.036,8.38016812,-0.604135617
360.036,12240.036,8.37779927,-0.604240554
360.036,12600.036,8.375562808,-0.604339684
360.036,12960.036,8.37344794,-0.604433475
360.036,13320.036,8.371445014,-0.604522346
360.036,13680.036,8.369545374,-0.604606674
360.036,14040.036,8.367741232,-0.604686799
360.036,14400.036,8.366025566,-0.604763027
360.036,14760.036,8.364392023,-0.604835636
360.036,15120.036,8.362834847,-0.604904876
360.036,15480.036,8.361348805,-0.604970977
360.036,15840.036,8.359929132,-0.605034147
360.036,16200.036,8.358571481,-0.605094578
360.036,16560.036,8.357271874,-0.605152443
360.036,16920.036,8.356026667,-0.605207902
360.036,17280.036,8.354832515,-0.605261102
360.036,17640.036,8.353686342,-0.605312179
360.036,18000.036,8.352585313,-0.605361256
360.036,18360.036,8.351526814,-0.60540845
360.036,18720.036,8.350508426,-0.605453866
360.036,19080.036,8.349527912,-0.605497603
360.036,19440.036,8.348583199,-0.605539752
360.036,19800.036,8.34767236,-0.605580398
360.036,20160.036,8.346793607,-0.605619621
360.036,20520.036,8.345945274,-0.605657493
360.036,20880.036,8.345125807,-0.605694083
360.036,21240.036,8.344333759,-0.605729455
360.036,21600.036,8.343567775,-0.605763669
360.036,21960.036,8.342826591,-0.605796781
360.036,22320.036,8.34210902,-0.605828844
360.036,22680.036,8.341413954,-0.605859905
360.036,23040.036,8.340740348,-0.605890012
360.036,23400.036,8.340087225,-0.605919208
360.036,23760.036,8.339453665,-0.605947534
360.036,24120.036,8.3388388,-0.605975027
360.036,24480.036,8.338241817,-0.606001725
360.036,24840.036,8.337661946,-0.60602766
360.036,25200.036,8.337098461,-0.606052866
360.036,25560.036,8.336550679,-0.606077372
360.036,25920.036,8.336017951,-0.606101207
360.036,26280.036,8.335499666,-0.606124399
360.036,26640.036,8.334995244,-0.606146974
360.036,27000.036,8.334504136,-0.606168954
360.036,27360.036,8.334025822,-0.606190365
360.036,27720.036,8.333559808,-0.606211226
360.036,28080.036,8.333105627,-0.606231561
360.036,28440.036,8.332662832,-0.606251387
360.036,28800.036,8.332231002,-0.606270724
360.036,29160.036,8.331809734,-0.60628959
360.036,29520.036,8.331398645,-0.606308002
360.036,29880.036,8.33099737,-0.606325975
360.036,30240.036,8.330605563,-0.606343527
360.036,30600.036,8.330222892,-0.60636067
360.036,30960.036,8.329849041,-0.606377419
360.036,31320.036,8.329483709,-0.606393789
360.036,31680.036,8.329126608,-0.60640979
360.036,32040.036,8.328777463,-0.606425436
