alpha_1,alpha_2,imaginary part,real part
360.036,0.036,0,-1.153282526
720.036,0.036,0,-0.576340781
1080.036,0.036,0,-0.384298376
1440.036,0.036,0,-0.288269836
1800.036,0.036,0,-0.230642933
2160.036,0.036,0,-0.192219204
2520.036,0.036,0,-0.164770302
2880.036,0.036,0,-0.14418157
3240.036,0.036,0,-0.128166801
3600.036,0.036,0,-0.115354117
3600.036,360.036,0,-4.756019974
3960.036,0.036,0,-0.104870413
3960.036,360.036,0,-3.918031315
4320.036,0.036,0,-0.09613357
4320.036,360.036,0,-3.394693349
4680.036,0.036,0,-0.088740546
4680.036,360.036,0,-3.01497961
5040.036,0.036,0,-0.082403439
5040.036,360.036,0,-2.720635409
5400.036,0.036,0,-0.076911105
5400.036,360.036,0,-2.483299443
5760.036,0.036,0,-0.072105177
5760.036,360.036,0,-2.286709158
6120.036,0.036,0,-0.067864546
6120.036,360.036,0,-2.120593279
6480.036,0.036,0,-0.064095012
6480.036,360.036,0,-1.978031904
6840.036,0.036,0,-0.060722203
6840.036,360.036,0,-1.854140763
6840.036,720.036,0,-5.316599342
7200.036,0.036,0,-0.057686619
7200.036,360.036,0,-1.745348123
7200.036,720.036,0,-4.613853446
7560.036,0.036,0,-0.054940093
7560.036,360.036,0,-1.648967929
7560.036,720.036,0,-4.163827804
7920.036,0.036,0,-0.052443213
7920.036,360.036,0,-1.562933618
7920.036,720.036,0,-3.823654219
8280.036,0.036,0,-0.050163422
8280.036,360.036,0,-1.485624758
8280.036,720.036,0,-3.549182521
8640.036,0.036,0,-0.048073586
8640.036,360.036,0,-1.415750093
8640.036,720.036,0,-3.31950611
9000.036,0.036,0,-0.046150915
9000.036,360.036,0,-1.352266282
9000.036,720.036,0,-3.122693118
9360.036,0.036,0,-0.044376122
9360.036,360.036,0,-1.294320019
9360.036,720.036,0,-2.951155014
9720.036,0.036,0,-0.042732778
9720.036,360.036,0,-1.241205918
9720.036,720.036,0,-2.799709647
10080.036,0.036,0,-0.041206802
10080.036,360.036,0,-1.192335298
10080.036,720.036,0,-2.664635171
10080.036,1080.036,0,-5.619449249
10440.036,0.036,0,-0.039786053
10440.036,360.036,0,-1.147212668
10440.036,720.036,0,-2.543156075
10440.036,1080.036,0,-4.972997525
10800.036,0.036,0,-0.038460009
10800.036,360.036,0,-1.105417746
10800.036,720.036,0,-2.433141309
10800.036,1080.036,0,-4.568093685
11160.036,0.036,0,-0.037219507
11160.036,360.036,0,-1.066591543
11160.036,720.036,0,-2.332916079
11160.036,1080.036,0,-4.259346613
11520.036,0.036,0,-0.036056528
11520.036,360.036,0,-1.030425458
11520.036,720.036,0,-2.241138846
11520.036,1080.036,0,-4.00688937
11880.036,0.036,0,-0.034964025
11880.036,360.036,0,-0.996652647
11880.036,720.036,0,-2.156717796
11880.036,1080.036,0,-3.792604096
12240.036,0.036,0,-0.033935781
12240.036,360.036,0,-0.965041126
12240.036,720.036,0,-2.07875229
12240.036,1080.036,0,-3.606367564
12600.036,0.036,0,-0.032966287
12600.036,360.036,0,-0.935388209
12600.036,720.036,0,-2.00649073
12600.036,1080.036,0,-3.441816293
12960.036,0.036,0,-0.032050649
12960.036,360.036,0,-0.907515981
12960.036,720.036,0,-1.939299536
12960.036,1080.036,0,-3.294630606
13320.036,0.036,0,-0.0311845
13320.036,360.036,0,-0.881267603
13320.036,720.036,0,-1.876639854
13320.036,1080.036,0,-3.161714845
13320.036,1440.036,0,-5.840020823
13680.036,0.036,0,-0.030363934
13680.036,360.036,0,-0.856504257
13680.036,720.036,0,-1.818049773
13680.036,1080.036,0,-3.040759321
13680.036,1440.036,0,-5.208366048
14040.036,0.036,0,-0.029585444
14040.036,360.036,0,-0.833102609
14040.036,720.036,0,-1.763130543
14040.036,1080.036,0,-2.929986314
14040.036,1440.036,0,-4.831872176
14400.036,0.036,0,-0.028845875
14400.036,360.036,0,-0.810952701
14400.036,720.036,0,-1.711535747
14400.036,1080.036,0,-2.827993295
14400.036,1440.036,0,-4.545491166
14760.036,0.036,0,-0.028142379
14760.036,360.036,0,-0.789956168
14760.036,720.036,0,-1.662962701
14760.036,1080.036,0,-2.733651254
14760.036,1440.036,0,-4.310317338
15120.036,0.036,0,-0.027472381
15120.036,360.036,0,-0.770024746
15120.036,720.036,0,-1.617145546
15120.036,1080.036,0,-2.646036069
15120.036,1440.036,0,-4.109437394
15480.036,0.036,0,-0.026833543
15480.036,360.036,0,-0.751078998
15480.036,720.036,0,-1.573849644
15480.036,1080.036,0,-2.564380612
15480.036,1440.036,0,-3.933621556
15840.036,0.036,0,-0.02622374
15840.036,360.036,0,-0.733047235
15840.036,720.036,0,-1.532867
15840.036,1080.036,0,-2.488040381
15840.036,1440.036,0,-3.777152538
16200.036,0.036,0,-0.025641037
16200.036,360.036,0,-0.715864585
16200.036,720.036,0,-1.494012479
16200.036,1080.036,0,-2.416468249
16200.036,1440.036,0,-3.636186735
16560.036,0.036,0,-0.025083668
16560.036,360.036,0,-0.699472201
16560.036,720.036,0,-1.457120677
16560.036,1080.036,0,-2.349195518
16560.036,1440.036,0,-3.507987404
16560.036,1800.036,0,-6.038228529
16920.036,0.036,0,-0.024550014
16920.036,360.036,0,-0.683816573
16920.036,720.036,0,-1.422043292
16920.036,1080.036,0,-2.285817457
16920.036,1440.036,0,-3.390521179
16920.036,1800.036,0,-5.382340748
17280.036,0.036,0,-0.024038595
17280.036,360.036,0,-0.668848937
17280.036,720.036,0,-1.388646925
17280.036,1080.036,0,-2.225982079
17280.036,1440.036,0,-3.282226942
17280.036,1800.036,0,-5.024048142
17640.036,0.036,0,-0.023548048
17640.036,360.036,0,-0.654524751
17640.036,720.036,0,-1.35681121
17640.036,1080.036,0,-2.169381317
17640.036,1440.036,0,-3.181874544
17640.036,1800.036,0,-4.753859858
18000.036,0.036,0,-0.023077122
18000.036,360.036,0,-0.640803255
18000.036,720.036,0,-1.326427232
18000.036,1080.036,0,-2.115743998
18000.036,1440.036,0,-3.088473931
18000.036,1800.036,0,-4.53201524
18360.036,0.036,0,-0.022624662
18360.036,360.036,0,-0.627647071
18360.036,720.036,0,-1.297396165
18360.036,1080.036,0,-2.064830184
18360.036,1440.036,0,-3.001214226
18360.036,1800.036,0,-4.342042762
18720.036,0.036,0,-0.022189603
18720.036,360.036,0,-0.615021857
18720.036,720.036,0,-1.269628117
18720.036,1080.036,0,-2.016426569
18720.036,1440.036,0,-2.919421453
18720.036,1800.036,0,-4.175173233
19080.036,0.036,0,-0.02177096
19080.036,360.036,0,-0.602896008
19080.036,720.036,0,-1.243041115
19080.036,1080.036,0,-1.970342703
19080.036,1440.036,0,-2.842528361
19080.036,1800.036,0,-4.026058184
19440.036,0.036,0,-0.021367821
19440.036,360.036,0,-0.591240388
19440.036,720.036,0,-1.217560249
19440.036,1080.036,0,-1.926407867
19440.036,1440.036,0,-2.770052327
19440.036,1800.036,0,-3.891139976
19800.036,0.036,0,-0.020979342
19800.036,360.036,0,-0.580028087
19800.036,720.036,0,-1.193116903
19800.036,1080.036,0,-1.88446847
19800.036,1440.036,0,-2.701578852
19800.036,1800.036,0,-3.76790474
19800.036,2160.036,0,-6.318826542
20160.036,0.036,0,-0.020604735
20160.036,360.036,0,-0.569234218
20160.036,720.036,0,-1.169648109
20160.036,1080.036,0,-1.844385858
20160.036,1440.036,0,-2.636748982
20160.036,1800.036,0,-3.654495117
20160.036,2160.036,0,-5.521022478
20520.036,0.036,0,-0.020243272
20520.036,360.036,0,-0.558835728
20520.036,720.036,0,-1.147095961
20520.036,1080.036,0,-1.806034469
20520.036,1440.036,0,-2.575249583
20520.036,1800.036,0,-3.54949096
20520.036,2160.036,0,-5.173921735
20880.036,0.036,0,-0.019894272
20880.036,360.036,0,-0.548811228
20880.036,720.036,0,-1.125407114
20880.036,1080.036,0,-1.769300262
20880.036,1440.036,0,-2.516805698
20880.036,1800.036,0,-3.451776523
20880.036,2160.036,0,-4.915649577
21240.036,0.036,0,-0.019557102
21240.036,360.036,0,-0.539140853
21240.036,720.036,0,-1.104532333
21240.036,1080.036,0,-1.734079378
21240.036,1440.036,0,-2.461174474
21240.036,1800.036,0,-3.360455695
21240.036,2160.036,0,-4.704196898
21600.036,0.036,0,-0.019231171
21600.036,360.036,0,-0.52980612
21600.036,720.036,0,-1.084426106
21600.036,1080.036,0,-1.700276983
21600.036,1440.036,0,-2.408140273
21600.036,1800.036,0,-3.274795534
21600.036,2160.036,0,-4.523066251
21960.036,0.036,0,-0.018915925
21960.036,360.036,0,-0.520789814
21960.036,720.036,0,-1.06504629
21960.036,1080.036,0,-1.667806279
21960.036,1440.036,0,-2.357510701
21960.036,1800.036,0,-3.194187311
21960.036,2160.036,0,-4.363700212
22320.036,0.036,0,-0.018610847
22320.036,360.036,0,-0.512075881
22320.036,720.036,0,-1.0463538
22320.036,1080.036,0,-1.63658764
22320.036,1440.036,0,-2.30911335
22320.036,1800.036,0,-3.118118828
22320.036,2160.036,0,-4.22096245
22680.036,0.036,0,-0.018315454
22680.036,360.036,0,-0.503649329
22680.036,720.036,0,-1.028312339
22680.036,1080.036,0,-1.606547865
22680.036,1440.036,0,-2.262793097
22680.036,1800.036,0,-3.046154247
22680.036,2160.036,0,-4.09147384
23040.036,0.036,0,-0.018029292
23040.036,360.036,0,-0.495496146
23040.036,720.036,0,-1.010888147
23040.036,1080.036,0,-1.577619519
23040.036,1440.036,0,-2.218409861
23040.036,1800.036,0,-2.977919067
23040.036,2160.036,0,-3.97286576
23400.036,0.036,0,-0.017751934
23400.036,360.036,0,-0.487603215
23400.036,720.036,0,-0.994049779
23400.036,1080.036,0,-1.549740365
23400.036,1440.036,0,-2.175836708
23400.036,1800.036,0,-2.913088722
23400.036,2160.036,0,-3.863398769
23400.036,2520.036,0,-5.637736172
23760.036,0.036,0,-0.01748298
23760.036,360.036,0,-0.479958248
23760.036,720.036,0,-0.977767915
23760.036,1080.036,0,-1.522852852
23760.036,1440.036,0,-2.134958258
23760.036,1800.036,0,-2.851379784
23760.036,2160.036,0,-3.761749094
23760.036,2520.036,0,-5.29641127
24120.036,0.036,0,-0.017222055
24120.036,360.036,0,-0.472549719
24120.036,720.036,0,-0.962015173
24120.036,1080.036,0,-1.496903679
24120.036,1440.036,0,-2.095669321
24120.036,1800.036,0,-2.792543072
24120.036,2160.036,0,-3.666880498
24120.036,2520.036,0,-5.046934919
24480.036,0.036,0,-0.016968803
24480.036,360.036,0,-0.465366809
24480.036,720.036,0,-0.946765957
24480.036,1080.036,0,-1.47184339
24480.036,1440.036,0,-2.057873741
24480.036,1800.036,0,-2.736358186
24480.036,2160.036,0,-3.577963084
24480.036,2520.036,0,-4.843676067
24840.036,0.036,0,-0.016722892
24840.036,360.036,0,-0.458399348
24840.036,720.036,0,-0.93199631
24840.036,1080.036,0,-1.447626032
24840.036,1440.036,0,-2.021483391
24840.036,1800.036,0,-2.682629119
24840.036,2160.036,0,-3.494319557
24840.036,2520.036,0,-4.669765266
25200.036,0.036,0,-0.016484006
25200.036,360.036,0,-0.45163777
25200.036,720.036,0,-0.917683782
25200.036,1080.036,0,-1.42420884
25200.036,1440.036,0,-1.986417314
25200.036,1800.036,0,-2.63118069
25200.036,2160.036,0,-3.415388338
25200.036,2520.036,0,-4.516691027
25560.036,0.036,0,-0.016251849
25560.036,360.036,0,-0.445073069
25560.036,720.036,0,-0.903807315
25560.036,1080.036,0,-1.401551957
25560.036,1440.036,0,-1.952600968
25560.036,1800.036,0,-2.581855633
25560.036,2160.036,0,-3.340697479
25560.036,2520.036,0,-4.379428873
25920.036,0.036,0,-0.01602614
25920.036,360.036,0,-0.438696755
25920.036,720.036,0,-0.890347135
25920.036,1080.036,0,-1.379618189
25920.036,1440.036,0,-1.919965577
25920.036,1800.036,0,-2.534512177
25920.036,2160.036,0,-3.26984573
25920.036,2520.036,0,-4.254710441
26280.036,0.036,0,-0.015806615
26280.036,360.036,0,-0.432500823
26280.036,720.036,0,-0.877284653
26280.036,1080.036,0,-1.358372779
26280.036,1440.036,0,-1.888447555
26280.036,1800.036,0,-2.489022043
26280.036,2160.036,0,-3.202488495
26280.036,2520.036,0,-4.140263561
26640.036,0.036,0,-0.015593023
26640.036,360.036,0,-0.426477713
26640.036,720.036,0,-0.86460238
26640.036,1080.036,0,-1.337783209
26640.036,1440.036,0,-1.857988008
26640.036,1800.036,0,-2.445268754
26640.036,2160.036,0,-3.138327198
26640.036,2520.036,0,-4.034430081
26640.036,2880.036,0,-5.740333854
