alpha_1,alpha_2,Imag,Real
0.036,14400.036,2.27E-05,-1.75E-06
0.036,14040.036,2.33E-05,-1.80E-06
0.036,13680.036,2.39E-05,-1.85E-06
0.036,13320.036,2.46E-05,-1.90E-06
0.036,12960.036,2.53E-05,-1.95E-06
0.036,12600.036,2.60E-05,-2.01E-06
0.036,12240.036,2.67E-05,-2.06E-06
0.036,11880.036,2.75E-05,-2.13E-06
0.036,11520.036,2.84E-05,-2.19E-06
0.036,11160.036,2.93E-05,-2.26E-06
0.036,10800.036,3.03E-05,-2.34E-06
0.036,10440.036,3.13E-05,-2.42E-06
0.036,10080.036,3.25E-05,-2.51E-06
0.036,9720.036,3.37E-05,-2.60E-06
0.036,9360.036,3.50E-05,-2.70E-06
0.036,9000.036,3.64E-05,-2.81E-06
0.036,8640.036,3.79E-05,-2.92E-06
0.036,8280.036,3.95E-05,-3.05E-06
0.036,7920.036,4.13E-05,-3.19E-06
0.036,7560.036,4.33E-05,-3.34E-06
0.036,7200.036,4.55E-05,-3.51E-06
0.036,6840.036,4.78E-05,-3.69E-06
0.036,6480.036,5.05E-05,-3.90E-06
0.036,6120.036,5.35E-05,-4.13E-06
0.036,5760.036,5.68E-05,-4.39E-06
0.036,5400.036,6.06E-05,-4.68E-06
0.036,5040.036,6.49E-05,-5.01E-06
0.036,4680.036,6.99E-05,-5.40E-06
0.036,4320.036,7.57E-05,-5.85E-06
0.036,3960.036,8.26E-05,-6.38E-06
0.036,3600.036,9.09E-05,-7.02E-06
0.036,3240.036,0.000100977,-7.80E-06
0.036,2880.036,0.000113593,-8.77E-06
0.036,2520.036,0.000129811,-1.00E-05
0.036,2160.036,0.000151431,-1.17E-05
0.036,1800.036,0.000181693,-1.40E-05
0.036,1440.036,0.00022707,-1.75E-05
0.036,1080.036,0.000302658,-2.34E-05
0.036,720.036,0.000453682,-3.50E-05
0.036,360.036,0.000905534,-6.99E-05
360.036,35640.036,0.091385383,-0.00702028
360.036,35280.036,0.092313148,-0.007091186
360.036,34920.036,0.093259944,-0.007163539
360.036,34560.036,0.094226362,-0.007237384
360.036,34200.036,0.09521302,-0.007312767
360.036,33840.036,0.096220559,-0.007389737
360.036,33480.036,0.09724965,-0.007468344
360.036,33120.036,0.098300991,-0.007548642
360.036,32760.036,0.099375312,-0.007630685
360.036,32400.036,0.100473375,-0.007714531
360.036,32040.036,0.101595976,-0.00780024
360.036,31680.036,0.102743946,-0.007887875
360.036,31320.036,0.103918156,-0.007977501
360.036,30960.036,0.105119515,-0.008069188
360.036,30600.036,0.106348975,-0.008163006
360.036,30240.036,0.107607535,-0.008259032
360.036,29880.036,0.108896241,-0.008357344
360.036,29520.036,0.110216187,-0.008458024
360.036,29160.036,0.111568525,-0.00856116
360.036,28800.036,0.112954461,-0.008666841
360.036,28440.036,0.114375263,-0.008775165
360.036,28080.036,0.115832264,-0.00888623
360.036,27720.036,0.117326865,-0.009000143
360.036,27360.036,0.118860541,-0.009117014
360.036,27000.036,0.120434843,-0.009236961
360.036,26640.036,0.122051409,-0.009360105
360.036,26280.036,0.123711962,-0.009486577
360.036,25920.036,0.125418324,-0.009616513
360.036,25560.036,0.127172416,-0.009750058
360.036,25200.036,0.12897627,-0.009887365
360.036,24840.036,0.130832033,-0.010028594
360.036,24480.036,0.132741979,-0.010173915
360.036,24120.036,0.134708516,-0.01032351
360.036,23760.036,0.136734196,-0.01047757
360.036,23400.036,0.13882173,-0.010636297
360.036,23040.036,0.140973993,-0.010799907
360.036,22680.036,0.143194044,-0.010968629
360.036,22320.036,0.145485136,-0.011142706
360.036,21960.036,0.147850736,-0.011322397
360.036,21600.036,0.150294537,-0.011507978
360.036,21240.036,0.152820483,-0.011699744
360.036,20880.036,0.155432786,-0.011898009
