alpha_1,alpha_2,Imag,Real
0.036,0.036,1.134484335,-0.087637715
0.036,360.036,0.909153132,-0.070127809
0.036,720.036,0.908724955,-0.070096503
0.036,1080.036,0.908581861,-0.070086054
0.036,1440.036,0.908510245,-0.070080827
0.036,1800.036,0.908467253,-0.07007769
0.036,2160.036,0.908438582,-0.070075599
0.036,2520.036,0.908418098,-0.070074105
0.036,2880.036,0.908402733,-0.070072984
0.036,3240.036,0.908390781,-0.070072112
0.036,3600.036,0.908381219,-0.070071415
0.036,3960.036,0.908373394,-0.070070844
0.036,4320.036,0.908366873,-0.070070369
0.036,4680.036,0.908361355,-0.070069966
0.036,5040.036,0.908356625,-0.070069622
0.036,5400.036,0.908352526,-0.070069323
0.036,5760.036,0.908348939,-0.070069061
0.036,6120.036,0.908345773,-0.07006883
0.036,6480.036,0.90834296,-0.070068625
0.036,6840.036,0.908340442,-0.070068442
0.036,7200.036,0.908338177,-0.070068276
0.036,7560.036,0.908336126,-0.070068127
0.036,7920.036,0.908334263,-0.070067991
0.036,8280.036,0.908332561,-0.070067867
0.036,8640.036,0.908331001,-0.070067753
0.036,9000.036,0.908329566,-0.070067649
0.036,9360.036,0.908328241,-0.070067552
0.036,9720.036,0.908327015,-0.070067463
0.036,10080.036,0.908325876,-0.070067379
0.036,10440.036,0.908324815,-0.070067302
0.036,10800.036,0.908323825,-0.07006723
0.036,11160.036,0.9083229,-0.070067162
0.036,11520.036,0.908322031,-0.070067099
0.036,11880.036,0.908321216,-0.07006704
0.036,12240.036,0.908320448,-0.070066984
0.036,12600.036,0.908319725,-0.070066931
0.036,12960.036,0.908319041,-0.070066881
0.036,13320.036,0.908318395,-0.070066834
0.036,13680.036,0.908317782,-0.070066789
0.036,14040.036,0.908317201,-0.070066747
0.036,14400.036,0.908316649,-0.070066707
0.036,14760.036,0.908316124,-0.070066669
0.036,15120.036,0.908315624,-0.070066632
0.036,15480.036,0.908315147,-0.070066597
0.036,15840.036,0.908314692,-0.070066564
0.036,16200.036,0.908314257,-0.070066532
0.036,16560.036,0.908313841,-0.070066502
0.036,16920.036,0.908313443,-0.070066473
0.036,17280.036,0.908313061,-0.070066445
