alpha_1,alpha_2,imaginary,real
32400.036,720.036,1.773836815,-0.704428912
16200.036,360.036,1.774857967,-0.706898336
32040.036,720.036,1.785071779,-0.704454534
31680.036,720.036,1.796483715,-0.704480701
15840.036,360.036,1.797513759,-0.707003734
31320.036,720.036,1.808077547,-0.704507431
30960.036,720.036,1.819858396,-0.704534742
15480.036,360.036,1.820897642,-0.707113762
30600.036,720.036,1.831831585,-0.704562654
30240.036,720.036,1.844002656,-0.704591185
15120.036,360.036,1.845051432,-0.707228731
29880.036,720.036,1.856377374,-0.704620358
29520.036,720.036,1.868961743,-0.704650194
14760.036,360.036,1.870020395,-0.707348982
29160.036,720.036,1.881762021,-0.704680715
28800.036,720.036,1.894784727,-0.704711946
14400.036,360.036,1.895853619,-0.707474886
28440.036,720.036,1.908036664,-0.704743912
28080.036,720.036,1.921524927,-0.704776638
14040.036,360.036,1.922604445,-0.707606851
27720.036,720.036,1.935256925,-0.704810152
27360.036,720.036,1.949240396,-0.704844483
13680.036,360.036,1.950330949,-0.707745324
27000.036,720.036,1.963483428,-0.704879662
26640.036,720.036,1.977994478,-0.704915718
13320.036,360.036,1.979096499,-0.707890798
26280.036,720.036,1.992782395,-0.704952687
25920.036,720.036,2.007856444,-0.704990602
12960.036,360.036,2.008970394,-0.708043817
25560.036,720.036,2.023226329,-0.705029501
25200.036,720.036,2.038902226,-0.705069422
12600.036,360.036,2.040028594,-0.708204983
24840.036,720.036,2.054894804,-0.705110406
24480.036,720.036,2.071215265,-0.705152495
12240.036,360.036,2.072354573,-0.708374962
24120.036,720.036,2.087875375,-0.705195736
35640.036,1080.036,2.10450204,-0.70413531
23760.036,720.036,2.104887498,-0.705240174
11880.036,360.036,2.106040302,-0.708554496
35280.036,1080.036,2.116043858,-0.704155028
23400.036,720.036,2.122264642,-0.705285862
34920.036,1080.036,2.127751892,-0.704175111
34560.036,1080.036,2.139630302,-0.70419557
23040.036,720.036,2.140020498,-0.705332852
11520.036,360.036,2.141187392,-0.708744412
34200.036,1080.036,2.1516834,-0.704216415
22680.036,720.036,2.158169489,-0.7053812
33840.036,1080.036,2.163915648,-0.704237657
33480.036,1080.036,2.176331673,-0.704259308
22320.036,720.036,2.17672682,-0.705430966
11160.036,360.036,2.177908442,-0.708945634
33120.036,1080.036,2.188936268,-0.704281379
21960.036,720.036,2.195708536,-0.705482212
32760.036,1080.036,2.201734407,-0.704303883
