alpha_1,alpha_2,Imag,Real
360.036,9360.036,18.32427036,-6.730345591
360.036,9720.036,18.33750074,-6.729560191
360.036,10080.036,18.34980641,-6.728830065
360.036,10440.036,18.36128105,-6.728149577
360.036,10800.036,18.37200609,-6.727513835
360.036,11160.036,18.38205267,-6.726918568
360.036,11520.036,18.39148319,-6.726360031
360.036,11880.036,18.40035263,-6.725834927
360.036,12240.036,18.40870961,-6.725340343
360.036,12600.036,18.41659731,-6.724873694
360.036,12960.036,18.42405417,-6.724432679
360.036,13320.036,18.43111456,-6.724015243
360.036,13680.036,18.43780927,-6.723619545
360.036,14040.036,18.444166,-6.723243931
360.036,14400.036,18.45020971,-6.722886908
360.036,14760.036,18.45596297,-6.722547132
360.036,15120.036,18.46144622,-6.722223382
360.036,15480.036,18.46667804,-6.72191455
360.036,15840.036,18.47167533,-6.721619629
360.036,16200.036,18.47645352,-6.7213377
360.036,16560.036,18.48102671,-6.721067924
360.036,16920.036,18.48540781,-6.72080953
360.036,17280.036,18.48960868,-6.720561813
360.036,17640.036,18.49364021,-6.720324127
360.036,18000.036,18.49751244,-6.720095872
360.036,18360.036,18.50123464,-6.7198765
360.036,18720.036,18.50481535,-6.719665501
360.036,19080.036,18.50826249,-6.719462405
360.036,19440.036,18.51158339,-6.719266776
360.036,19800.036,18.51478488,-6.719078211
360.036,20160.036,18.51787327,-6.718896332
360.036,20520.036,18.52085445,-6.718720792
360.036,20880.036,18.52373392,-6.718551264
360.036,21240.036,18.52651678,-6.718387445
360.036,21600.036,18.52920783,-6.71822905
360.036,21960.036,18.53181153,-6.718075816
360.036,22320.036,18.53433206,-6.717927494
360.036,22680.036,18.53677335,-6.717783851
360.036,23040.036,18.53913908,-6.717644669
360.036,23400.036,18.5414327,-6.717509745
360.036,23760.036,18.54365746,-6.717378885
360.036,24120.036,18.54581641,-6.717251909
360.036,24480.036,18.54791244,-6.717128646
360.036,24840.036,18.54994825,-6.717008935
360.036,25200.036,18.5519264,-6.716892626
360.036,25560.036,18.5538493,-6.716779576
360.036,25920.036,18.55571925,-6.716669649
360.036,26280.036,18.55753839,-6.716562718
360.036,26640.036,18.55930878,-6.716458661
360.036,27000.036,18.56103234,-6.716357365
360.036,27360.036,18.5627109,-6.716258721
360.036,27720.036,18.56434622,-6.716162627
360.036,28080.036,18.56593993,-6.716068984
360.036,28440.036,18.5674936,-6.715977701
360.036,28800.036,18.56900873,-6.715888688
360.036,29160.036,18.57048674,-6.715801863
360.036,29520.036,18.57192896,-6.715717146
360.036,29880.036,18.57333669,-6.715634461
360.036,30240.036,18.57471114,-6.715553735
360.036,30600.036,18.57605348,-6.7154749
360.036,30960.036,18.57736484,-6.71539789
360.036,31320.036,18.57864625,-6.715322643
360.036,31680.036,18.57989875,-6.715249099
360.036,32040.036,18.58112329,-6.7151772
360.036,32400.036,18.58232081,-6.715106892
360.036,32760.036,18.58349218,-6.715038123
360.036,33120.036,18.58463826,-6.714970842
360.036,33480.036,18.58575986,-6.714905003
360.036,33840.036,18.58685774,-6.714840558
360.036,34200.036,18.58793267,-6.714777465
360.036,34560.036,18.58898534,-6.714715681
360.036,34920.036,18.59001644,-6.714655166
360.036,35280.036,18.59102663,-6.714595881
360.036,35640.036,18.59201654,-6.714537789
720.036,0.036,0,-0.566377302
720.036,360.036,9.50681193,-7.10733976
720.036,720.036,12.54903491,-7.00664115
720.036,1080.036,14.04201277,-6.945925903
720.036,1440.036,14.94459373,-6.905532212
720.036,1800.036,15.55178569,-6.876791446
720.036,2160.036,15.98888717,-6.855325588
720.036,2520.036,16.31881543,-6.838695965
720.036,2880.036,16.57677225,-6.825440245
720.036,3240.036,16.7840314,-6.81462977
720.036,3600.036,16.95422073,-6.805647099
720.036,3960.036,17.09647928,-6.798066018
720.036,4320.036,17.21716703,-6.791582983
720.036,4680.036,17.32084771,-6.785976031
720.036,5040.036,17.41088156,-6.781079141
720.036,5400.036,17.48979785,-6.776765685
720.036,5760.036,17.55953685,-6.772937412
720.036,6120.036,17.621612,-6.769516929
720.036,6480.036,17.67722117,-6.766442454
720.036,6840.036,17.7273249,-6.763664072
720.036,7200.036,17.77270239,-6.76114102
720.036,7560.036,17.81399237,-6.758839679
720.036,7920.036,17.85172343,-6.756732082
720.036,8280.036,17.88633678,-6.754794771
720.036,8640.036,17.91820354,-6.753007925
720.036,9000.036,17.94763822,-6.751354683
720.036,9360.036,17.97490902,-6.74982061
720.036,9720.036,18.00024614,-6.748393278
720.036,10080.036,18.02384821,-6.747061926
720.036,10440.036,18.04588757,-6.745817195
720.036,10800.036,18.06651447,-6.744650901
720.036,11160.036,18.08586048,-6.74355586
720.036,11520.036,18.10404132,-6.74252574
720.036,11880.036,18.12115919,-6.741554934
720.036,12240.036,18.13730467,-6.740638467
720.036,12600.036,18.15255833,-6.739771902
720.036,12960.036,18.16699209,-6.738951272
720.036,13320.036,18.18067031,-6.738173021
720.036,13680.036,18.19365082,-6.737433949
720.036,14040.036,18.20598567,-6.736731172
720.036,14400.036,18.21772186,-6.736062082
720.036,14760.036,18.22890196,-6.735424312
720.036,15120.036,18.23956456,-6.734815716
720.036,15480.036,18.2497448,-6.734234336
720.036,15840.036,18.25947467,-6.733678388
720.036,16200.036,18.26878343,-6.733146238
720.036,16560.036,18.27769782,-6.732636392
720.036,16920.036,18.28624239,-6.732147475
720.036,17280.036,18.29443969,-6.731678226
720.036,17640.036,18.30231047,-6.731227482
720.036,18000.036,18.30987385,-6.730794168
720.036,18360.036,18.31714751,-6.730377294
720.036,18720.036,18.32414776,-6.729975942
720.036,19080.036,18.33088976,-6.72958926
720.036,19440.036,18.33738752,-6.729216458
720.036,19800.036,18.34365409,-6.728856804
720.036,20160.036,18.34970158,-6.728509613
720.036,20520.036,18.3555413,-6.728174249
720.036,20880.036,18.36118376,-6.727850117
720.036,21240.036,18.36663879,-6.727536663
720.036,21600.036,18.37191559,-6.727233368
720.036,21960.036,18.37702274,-6.726939745
720.036,22320.036,18.3819683,-6.72665534
720.036,22680.036,18.38675982,-6.726379725
720.036,23040.036,18.39140438,-6.726112499
720.036,23400.036,18.39590865,-6.725853284
720.036,23760.036,18.40027888,-6.725601726
