alpha_1,alpha_2,Im(lambda_4),Re(lambda_4),Re(lambda_3)
1.00E-05,1.00E-05,10.26124686,1.565495923,1.565495923
1.00E-05,0.05001,8.540423934,-1.239994248,-1.239994248
1.00E-05,0.10001,7.604138845,-1.324945462,-1.324945462
1.00E-05,0.15001,7.052851888,-1.353296991,-1.353296991
1.00E-05,0.20001,6.666164234,-1.367213432,-1.367213432
1.00E-05,0.25001,6.370616746,-1.375391179,-1.375391179
1.00E-05,0.30001,6.132742315,-1.380734246,-1.380734246
1.00E-05,0.35001,5.934519439,-1.384479614,-1.384479614
1.00E-05,0.40001,5.765154833,-1.387240219,-1.387240219
1.00E-05,0.45001,5.61768599,-1.389353152,-1.389353152
1.00E-05,0.50001,5.487367524,-1.391018566,-1.391018566
1.00E-05,0.55001,5.370824732,-1.392362512,-1.392362512
1.00E-05,0.60001,5.265574993,-1.39346817,-1.39346817
1.00E-05,0.65001,5.169740744,-1.394392561,-1.394392561
1.00E-05,0.70001,5.081868947,-1.395176028,-1.395176028
1.00E-05,0.75001,5.000812988,-1.395847882,-1.395847882
1.00E-05,0.80001,4.925652829,-1.396429913,-1.396429913
1.00E-05,0.85001,4.855639473,-1.396938646,-1.396938646
1.00E-05,0.90001,4.790155397,-1.397386824,-1.397386824
1.00E-05,0.95001,4.728685741,-1.397784431,-1.397784431
1.00E-05,1.00001,4.670796951,-1.398139394,-1.398139394
1.00E-05,1.05001,4.616120673,-1.398458083,-1.398458083
1.00E-05,1.10001,4.564341425,-1.398745672,-1.398745672
1.00E-05,1.15001,4.515187038,-1.399006407,-1.399006407
1.00E-05,1.20001,4.468421151,-1.399243804,-1.399243804
1.00E-05,1.25001,4.423837259,-1.399460797,-1.399460797
1.00E-05,1.30001,4.381253937,-1.399659852,-1.399659852
1.00E-05,1.35001,4.340510978,-1.39984306,-1.39984306
1.00E-05,1.40001,4.301466246,-1.400012202,-1.400012202
1.00E-05,1.45001,4.263993085,-1.400168803,-1.400168803
1.00E-05,1.50001,4.227978172,-1.400314179,-1.400314179
1.00E-05,1.55001,4.193319731,-1.400449471,-1.400449471
1.00E-05,1.60001,4.159926034,-1.40057567,-1.40057567
1.00E-05,1.65001,4.127714133,-1.400693645,-1.400693645
1.00E-05,1.70001,4.096608789,-1.400804158,-1.400804158
1.00E-05,1.75001,4.066541556,-1.40090788,-1.40090788
1.00E-05,1.80001,4.037449993,-1.401005406,-1.401005406
