alpha_1,alpha_2,Im(lambda_4),Re(lambda_4),Re(lambda_3)
1.00E-05,1.00E-05,10.11028113,-5.057088517,-5.057088517
1.00E-05,0.05001,5.176032789,-6.884658913,-6.884658913
1.00E-05,0.10001,3.322800682,-6.957649769,-6.957649769
1.00E-05,0.15001,1.660223771,-6.981383189,-6.981383189
1.00E-05,0.20001,0,-5.366101804,-8.619431788
1.00E-05,0.25001,0,-4.439089256,-9.559559684
1.00E-05,0.30001,0,-3.910857987,-10.09621192
1.00E-05,0.35001,0,-3.545066143,-10.46781545
1.00E-05,0.40001,0,-3.269526709,-10.74757852
1.00E-05,0.45001,0,-3.051330835,-10.96896564
1.00E-05,0.50001,0,-2.872580937,-11.15020104
1.00E-05,0.55001,0,-2.72246487,-11.3023007
1.00E-05,0.60001,0,-2.593967812,-11.43241278
1.00E-05,0.65001,0,-2.482294402,-11.54542329
1.00E-05,0.70001,0,-2.384031903,-11.64480863
1.00E-05,0.75001,0,-2.296672335,-11.73312268
1.00E-05,0.80001,0,-2.21832352,-11.8122915
1.00E-05,0.85001,0,-2.147526167,-11.88379991
1.00E-05,0.90001,0,-2.083133621,-11.94881412
1.00E-05,0.95001,0,-2.024230276,-12.00826498
1.00E-05,1.00001,0,-1.970074703,-12.06290593
1.00E-05,1.05001,0,-1.920059064,-12.11335442
1.00E-05,1.10001,0,-1.873679569,-12.16012199
1.00E-05,1.15001,0,-1.830514565,-12.20363662
1.00E-05,1.20001,0,-1.790208027,-12.24425957
1.00E-05,1.25001,0,-1.752456953,-12.28229817
1.00E-05,1.30001,0,-1.717001593,-12.31801579
1.00E-05,1.35001,0,-1.683617806,-12.35163962
1.00E-05,1.40001,0,-1.652111004,-12.38336685
1.00E-05,1.45001,0,-1.622311316,-12.41336956
1.00E-05,1.50001,0,-1.594069683,-12.44179871
1.00E-05,1.55001,0,-1.567254685,-12.46878736
1.00E-05,1.60001,0,-1.54174994,-12.49445331
1.00E-05,1.65001,0,-1.517451958,-12.51890128
1.00E-05,1.70001,0,-1.494268361,-12.54222473
1.00E-05,1.75001,0,-1.472116389,-12.56450738
1.00E-05,1.80001,0,-1.450921651,-12.58582445
1.00E-05,1.85001,0,-1.430617062,-12.60624377
1.00E-05,1.90001,0,-1.41114195,-12.62582667
1.00E-05,1.95001,0,-1.392441283,-12.64462877
1.00E-05,2.00001,0,-1.374465016,-12.66270062
1.00E-05,2.05001,0,-1.357167518,-12.68008834
1.00E-05,2.10001,0,-1.340507091,-12.69683404
1.00E-05,2.15001,0,-1.324445538,-12.7129763
1.00E-05,2.20001,0,-1.308947796,-12.72855052
1.00E-05,2.25001,0,-1.293981613,-12.74358926
1.00E-05,2.30001,0,-1.279517263,-12.75812254
1.00E-05,2.35001,0,-1.2655273,-12.77217804
1.00E-05,2.40001,0,-1.251986333,-12.7857814
1.00E-05,2.45001,0,-1.238870838,-12.79895635
1.00E-05,2.50001,0,-1.22615898,-12.81172492
1.00E-05,2.55001,0,-1.213830463,-12.82410758
1.00E-05,2.60001,0,-1.201866392,-12.83612339
1.00E-05,2.65001,0,-1.190249152,-12.84779012
1.00E-05,2.70001,0,-1.178962298,-12.85912434
1.00E-05,2.75001,0,-1.167990454,-12.87014156
1.00E-05,2.80001,0,-1.157319233,-12.8808563
1.00E-05,2.85001,0,-1.146935148,-12.89128213
1.00E-05,2.90001,0,-1.136825545,-12.90143181
1.00E-05,2.95001,0,-1.126978539,-12.91131733
1.00E-05,3.00001,0,-1.117382953,-12.92094995
1.00E-05,3.05001,0,-1.108028263,-12.93034027
1.00E-05,3.10001,0,-1.098904555,-12.93949827
1.00E-05,3.15001,0,-1.090002476,-12.94843339
