alpha_1,alpha_2,Im(lambda_4),Re(lambda_4),Re(lambda_3)
4.95001,1.00E-05,1.282760293,-0.069308255,-0.069308255
4.90001,1.00E-05,1.282761133,-0.069306429,-0.069306429
4.85001,1.00E-05,1.282761985,-0.069304575,-0.069304575
4.80001,1.00E-05,1.282762851,-0.069302692,-0.069302692
4.75001,1.00E-05,1.28276373,-0.06930078,-0.06930078
4.70001,1.00E-05,1.282764624,-0.069298837,-0.069298837
4.65001,1.00E-05,1.282765531,-0.069296863,-0.069296863
4.60001,1.00E-05,1.282766454,-0.069294856,-0.069294856
4.55001,1.00E-05,1.282767391,-0.069292817,-0.069292817
4.50001,1.00E-05,1.282768345,-0.069290744,-0.069290744
4.45001,1.00E-05,1.282769314,-0.069288636,-0.069288636
4.40001,1.00E-05,1.282770299,-0.069286492,-0.069286492
4.35001,1.00E-05,1.282771302,-0.069284311,-0.069284311
4.30001,1.00E-05,1.282772322,-0.069282092,-0.069282092
4.25001,1.00E-05,1.28277336,-0.069279835,-0.069279835
4.20001,1.00E-05,1.282774416,-0.069277537,-0.069277537
4.15001,1.00E-05,1.282775492,-0.069275197,-0.069275197
4.10001,1.00E-05,1.282776587,-0.069272815,-0.069272815
4.05001,1.00E-05,1.282777702,-0.069270389,-0.069270389
4.00001,1.00E-05,1.282778838,-0.069267918,-0.069267918
3.95001,1.00E-05,1.282779995,-0.0692654,-0.0692654
3.90001,1.00E-05,1.282781175,-0.069262833,-0.069262833
3.85001,1.00E-05,1.282782377,-0.069260217,-0.069260217
3.80001,1.00E-05,1.282783603,-0.069257549,-0.069257549
3.75001,1.00E-05,1.282784854,-0.069254828,-0.069254828
3.70001,1.00E-05,1.28278613,-0.069252052,-0.069252052
3.65001,1.00E-05,1.282787432,-0.06924922,-0.06924922
3.60001,1.00E-05,1.282788761,-0.069246328,-0.069246328
3.55001,1.00E-05,1.282790117,-0.069243375,-0.069243375
3.50001,1.00E-05,1.282791503,-0.06924036,-0.06924036
3.45001,1.00E-05,1.282792919,-0.069237279,-0.069237279
3.40001,1.00E-05,1.282794366,-0.06923413,-0.06923413
3.35001,1.00E-05,1.282795845,-0.069230912,-0.069230912
3.30001,1.00E-05,1.282797357,-0.06922762,-0.06922762
3.25001,1.00E-05,1.282798904,-0.069224252,-0.069224252
3.20001,1.00E-05,1.282800488,-0.069220806,-0.069220806
3.15001,1.00E-05,1.282802108,-0.069217279,-0.069217279
3.10001,1.00E-05,1.282803768,-0.069213666,-0.069213666
3.05001,1.00E-05,1.282805468,-0.069209964,-0.069209964
3.00001,1.00E-05,1.282807211,-0.069206171,-0.069206171
2.95001,1.00E-05,1.282808998,-0.069202281,-0.069202281
2.90001,1.00E-05,1.282810831,-0.069198292,-0.069198292
2.85001,1.00E-05,1.282812711,-0.069194197,-0.069194197
2.80001,1.00E-05,1.282814642,-0.069189994,-0.069189994
2.75001,1.00E-05,1.282816625,-0.069185676,-0.069185676
2.70001,1.00E-05,1.282818663,-0.069181239,-0.069181239
2.65001,1.00E-05,1.282820758,-0.069176677,-0.069176677
2.60001,1.00E-05,1.282822913,-0.069171984,-0.069171984
2.55001,1.00E-05,1.282825131,-0.069167154,-0.069167154
2.50001,1.00E-05,1.282827415,-0.069162179,-0.069162179
2.45001,1.00E-05,1.282829769,-0.069157053,-0.069157053
2.40001,1.00E-05,1.282832196,-0.069151767,-0.069151767
2.35001,1.00E-05,1.2828347,-0.069146314,-0.069146314
2.30001,1.00E-05,1.282837285,-0.069140684,-0.069140684
2.25001,1.00E-05,1.282839955,-0.069134866,-0.069134866
2.20001,1.00E-05,1.282842716,-0.069128852,-0.069128852
2.15001,1.00E-05,1.282845572,-0.069122629,-0.069122629
2.10001,1.00E-05,1.28284853,-0.069116185,-0.069116185
2.05001,1.00E-05,1.282851595,-0.069109507,-0.069109507
2.00001,1.00E-05,1.282854774,-0.06910258,-0.06910258
1.95001,1.00E-05,1.282858075,-0.069095388,-0.069095388
1.90001,1.00E-05,1.282861504,-0.069087914,-0.069087914
1.85001,1.00E-05,1.282865072,-0.069080138,-0.069080138
1.80001,1.00E-05,1.282868786,-0.069072041,-0.069072041
1.75001,1.00E-05,1.282872659,-0.069063599,-0.069063599
1.70001,1.00E-05,1.282876701,-0.069054788,-0.069054788
1.65001,1.00E-05,1.282880925,-0.069045579,-0.069045579
1.60001,1.00E-05,1.282885345,-0.069035941,-0.069035941
1.55001,1.00E-05,1.282889977,-0.06902584,-0.06902584
1.50001,1.00E-05,1.282894839,-0.069015239,-0.069015239
1.45001,1.00E-05,1.282899949,-0.069004094,-0.069004094
1.40001,1.00E-05,1.28290533,-0.068992356,-0.068992356
